Dataset:              Benthic Taxonomy Information
File Name:            ben_tax.dat
Date Created:         06/08/10
# Variables:          7
# Header Records:     18
# Data Records:       745
Delimiter:            ,
Missing Value Symbol: .

Variables:        TSN            ITIS Taxonomic Serial Number 
                  TSN_NAME       ITIS Taxa Latin Name              
                  PHYLUM         Taxonomic Phylum            
                  CLASS          Taxonomic Class            
                  ORDER          Taxonomic Order            
                  FAMILY         Taxonomic Family           
                  GENUS          Taxonomic Genus             

tsn,PHYLUM,CLASS,ORDER,FAMILY,GENUS,tsn_name,ntsn,STATUS,TAXON_RANK_NAME,old_name,KINGDOM,SPECIES,
65343,Annelida,Polychaeta,Aciculata,Phyllodocidae,Eumida,Eumida sanguinea,65343,A,Species, , ,sanguinea,
65359,Annelida,Polychaeta,Aciculata,Phyllodocidae,Phyllodoce (animal,Phyllodoce (animal),65359,A,Genus, , ,(animal),
65366,Annelida,Polychaeta,Aciculata,Phyllodocidae,Phyllodoce (animal,Phyllodoce arenae,65366,A,Species, , ,arenae,
65467,Annelida,Polychaeta,Aciculata,Hesionidae, ,Hesionidae,65467,A,Family, , , ,
65476,Annelida,Polychaeta,Aciculata,Hesionidae,Microphthalmus,Microphthalmus,65476,A,Genus, , , ,
65477,Annelida,Polychaeta,Aciculata,Hesionidae,Microphthalmus,Microphthalmus sczelkowii,65477,A,Species, ,Animalia,sczelkowii,
65478,Annelida,Polychaeta,Aciculata,Hesionidae,Microphthalmus,Microphthalmus aberrans,65478,A,Species, , ,aberrans,
65480,Annelida,Polychaeta,Aciculata,Hesionidae,Microphthalmus,Microphthalmus similis,65480,A,Species, , ,similis,
65493,Annelida,Polychaeta,Aciculata,Hesionidae,Parahesione,Parahesione luteola,65493,A,Species, , ,luteola,
65517,Annelida,Polychaeta,Aciculata,Hesionidae,Podarke,Podarke obscura,65517,A,Species, , ,obscura,
65541,Annelida,Polychaeta,Aciculata,Pilargidae,Ancistrosyllis,Ancistrosyllis,65541,A,Genus, , , ,
65543,Annelida,Polychaeta,Aciculata,Pilargidae,Ancistrosyllis,Ancistrosyllis hartmanae,65543,A,Species, , ,hartmanae,
65551,Annelida,Polychaeta,Aciculata,Pilargidae,Sigambra,Sigambra,65551,A,Genus, , , ,
65552,Annelida,Polychaeta,Aciculata,Pilargidae,Sigambra,Sigambra tentaculata,65552,A,Species, , ,tentaculata,
65554,Annelida,Polychaeta,Aciculata,Pilargidae,Sigambra,Sigambra bassi,65554,A,Species, ,Animalia,bassi,
65565,Annelida,Polychaeta,Aciculata,Pilargidae,Cabira,Cabira incerta,65565,A,Species, , ,incerta,
65587,Annelida,Polychaeta,Aciculata,Syllidae, ,Syllidae,65587,A,Family, , , ,
65588,Annelida,Polychaeta,Aciculata,Syllidae,Autolytus,Autolytus,65588,A,Genus, , , ,
65594,Annelida,Polychaeta,Aciculata,Syllidae,Autolytus,Autolytus prolifera,65594,A,Species, , ,prolifera,
65629,Annelida,Polychaeta,Aciculata,Syllidae,Syllis,Syllis,65629,A,Genus, , , ,
656402,Arthropoda,Malacostraca,Amphipoda,Pariambidae,Deutella,Deutella incerta,656402, , , ,Animalia,incerta,
656488,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Monocorophium,Monocorophium,656488, , , , , ,
656551,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Ameroculodes,Ameroculodes,656551, , , ,Animalia, ,
656552,Arthropoda,Malacostraca,Amphipoda ,Oedicerotidae ,Deflexilodes,Deflexilodes,., , , , , ,
656748,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Apocorophium,Apocorophium acutum,656748, , , ,Animalia,acutum,
656749,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Apocorophium,Apocorophium lacustre,656749, , , ,Animalia,lacustre,
656756,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Monocorophium,Monocorophium acherusicum,656756, , , ,Animalia,acherusicum,
656762,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Monocorophium,Monocorophium tuberculatum,656762, , , ,Animalia,tuberculatum,
657118,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Americhelidium,Americhelidium americanum,657118, , , ,Animalia,americanum,
65721,Annelida,Polychaeta,Aciculata,Syllidae,Exogone,Exogone,65721,A,Genus, , , ,
65722,Annelida,Polychaeta,Aciculata,Syllidae,Exogone,Exogone dispar,65722,A,Species, , ,dispar,
65727,Annelida,Polychaeta,Aciculata,Syllidae,Exogone,Exogone verugera,65727,A,Species, ,Animalia,verugera,
65730,Annelida,Polychaeta,Aciculata,Syllidae,Exogone,Exogone hebes,65730,A,Species, , ,hebes,
65735,Annelida,Polychaeta,Aciculata,Syllidae,Sphaerosyllis,Sphaerosyllis,65735,A,Genus, ,Animalia, ,
65737,Annelida,Polychaeta,Aciculata,Syllidae,Sphaerosyllis,Sphaerosyllis erinaceus,65737,S,Species,Sphaerosyllis brevifrons, ,erinaceus,
