Dataset:              Fish Trawl Data
File Name:            FTRAWL.dat
Date Created:         06/08/10
# Variables:          12
# Header Records:     23
# Data Records:       1362
Delimiter:            ,
Missing Value Symbol: .

Variables:    STATION       Station Name                          
              STAT_ALT      Alternate Site Sampled (A B or C)   
              EVNTDATE      Event Date                           
              FTRLTYPE	   Type of Fish Trawl                  
              FTRLFLAG      Status of Completed Fish Trawl      
              FSPECCNT      Total Fish Species in Trawl (#)     
              FT_DUR        Duration of Fish Trawl (mmss)       
              FWTR_SPD      Trawl Speed through Water (knots)    
              BEG_LAT       Fish Trawl Beginning Latitude (dd)   
              BEG_LNG       Fish Trawl Beginning Longitude (dd)  
              END_LAT       Fish Trawl End Latitude (dd)         
              END_LNG       Fish Trawl End Longitude (dd)        

STATION,STAT_ALT,EVNTDATE,FTRLTYPE,FTRLFLAG,FSPECCNT,FT_DUR,FWTR_SPD,BEG_LAT,BEG_LNG,END_LAT,END_LNG,FTRAWLID,
NJ00-0043,A,09/06/00,NCA, ,4,10:00,1.2,39.6397,-74.2056,39.6418,-74.2041, ,
NJ00-0045,A,09/05/00,NCA, ,3,10:00,.,39.7427,-74.148,39.7439,-74.1489, ,
NJ00-0047,A,09/05/00,NCA, ,14,10:00,1.3,39.8099,-74.1021,39.8117,-74.1053, ,
NJ00-0049,A,08/29/00,NCA, ,6,10:00,1.2,39.9326,-74.1413,39.9167,-74.1333, ,
NJ00-0051,A,08/29/00,NCA, ,8,10:00,.,39.9897,-74.0737,39.9926,-74.0753, ,
NJ00-0053,A,08/28/00,NCA, ,5,10:00,.,40.0902,-74.0751,40.0919,-74.0785, ,
NJ00-0055,A,08/28/00,NCA, ,0,10:00,.,40.1877,-74.018,40.1869,-74.0207, ,
NJ00-0057,A,08/22/00,NCA, ,6,10:00,1.0,40.3476,-74.0821,40.349,-74.079, ,
NJ00-0059,A,08/15/00,NCA, ,4,10:00,2.0,40.3789,-74.0242,40.3764,-74.0302, ,
NJ00-0061,A,10/03/00,NCA, ,14,10:00,1.8,38.9724,-74.982,38.9727,-74.9755, ,
NJ00-0063,A,10/12/00,NCA, ,5,10:00,.,39.129,-75.1209,39.1316,-75.1216, ,
NJ00-0065,A,10/12/00,NCA, ,7,10:00,1.5,39.2002,-75.2213,39.2013,-75.2167, ,
NJ00-0067,A,10/03/00,NCA, ,5,10:00,0.4,39.1635,-74.8988,39.1627,-74.8973, ,
NJ00-0069,A,10/12/00,NCA, ,6,10:00,1.5,39.2489,-75.208,39.2479,-75.2053, ,
NJ00-0071,A,10/13/00,NCA, ,3,10:00,1.6,39.3194,-75.3347,39.3237,-75.3352, ,
NJ00-0073,A,10/10/00,NCA, ,6,10:00,.,40.0808,-74.8732,40.08,-74.8772, ,
NJ00-0075,A,10/10/00,NCA, ,5,10:00,1.3,39.9785,-75.0719,39.9667,-75.0667, ,
NJ00-0079,A,10/11/00,NCA, ,6,10:00,1.8,39.8457,-75.3338,39.8452,-75.336, ,
NJ00-0081,A,10/04/00,NCA, ,9,10:00,1.5,39.0833,-75.1828,39.088,-75.1773, ,
NJ00-0083,B,09/13/00,NCA, ,12,10:00,.,38.9674,-74.9528,38.967,-74.9498, ,
NJ00-0085,A,09/13/00,NCA, ,4,10:00,.,38.9625,-74.9256,38.9634,-74.9285, ,
NJ00-0087,A,09/14/00,NCA, ,2,10:00,.,39.1741,-74.8599,.,., ,
NJ00-0089,A,09/15/00,NCA, ,10,10:00,.,39.2034,-75.0298,.,., ,
NJ00-0091,A,09/20/00,NCA, ,9,10:00,1.5,39.3449,-75.3595,39.346,-75.3568, ,
NJ00-0093,A,09/15/00,NCA, ,6,10:00,.,39.3455,-75.023,39.348,-75.0236, ,
NJ00-0095,C,09/19/00,NCA, ,5,10:00,1.0,39.5015,-75.5084,39.5011,-75.5102, ,
NJ00-0097,A,09/20/00,NCA, ,6,10:00,.,39.392,-75.2267,39.3896,-75.2282, ,
NY00-0021,A,10/06/00,NCA,UNSUCCESSFUL,., ,2.2,41.1231,-73.9063,.,., ,
NY00-0022,B,10/06/00,NCA,UNSUCCESSFUL,., ,.,.,.,.,., ,
NY00-0027,A,10/05/00,NCA, ,4,10:00,2.3,40.5004,-74.2572,40.495,-74.2555, ,
NY00-0029,A,10/05/00,NCA, ,4,10:00,2.1,40.58,-73.8769,40.5841,-73.8726, ,
NY00-0031,A,10/05/00,NCA, ,2,10:00,1.7,.,.,40.6361,-74.05, ,
NY00-0039,A,10/04/00,NCA, ,2,10:00,1.1,40.5948,-73.6735,40.5945,-73.6803, ,
NY00-0045,A,10/04/00,NCA,UNSUCCESSFUL,., ,1.2,40.6763,-73.2632,40.6756,-73.2587, ,
NY00-0047,A,10/03/00,NCA, ,1,15:15,2.5,40.6927,-73.0939,40.6892,-73.1009, ,
NY00-0049,A,10/04/00,NCA, ,6,10:00,1.7,40.7101,-73.1194,40.7162,-73.1177, ,
NY00-0055,A,10/03/00,NCA, ,1,10:00,2.5,40.8633,-72.477,40.8693,-72.4724, ,
NY00-0057,A,10/02/00,NCA, ,0,10:00,2.0,40.935,-72.5171,40.941,-72.5145, ,
NY00-0059,A,10/02/00,NCA, ,1,10:00,2.2,40.9981,-72.4152,40.9921,-72.4205, ,
NY00-0093,B,09/14/00,CT, ,13,22:00,.,.,.,.,., ,
NY00-0095,A,09/12/00,CT, ,15,30:00,.,.,.,.,., ,
NY00-0097,A,09/14/00,CT, ,13,30:00,.,.,.,.,., ,
NY00-0099,A,09/11/00,CT, ,8,22:00,.,.,.,.,., ,
NY00-0101,A,09/13/00,CT, ,14,30:00,.,.,.,.,., ,
NY00-0103,A,09/11/00,CT, ,15,30:00,.,.,.,.,., ,
NY00-0105,A,09/13/00,CT, ,14,30:00,.,.,.,.,., ,
NY00-0107,A,09/11/00,CT, ,15,30:00,.,.,.,.,., ,
NY00-0109,A,09/21/00,CT, ,12,15:00,.,.,.,.,., ,
NY00-0111,A,09/21/00,CT, ,14,30:00,.,.,.,.,., ,
NY00-0113,A,09/14/00,CT, ,17,30:00,.,.,.,.,., ,
PA00-0003,C,09/27/00,NCA, ,2,10:00,.,39.9619,-75.1811,39.9639,-75.183, ,
RI00-0041,A,09/21/00,NCA, ,3,10:00,.,41.7393,-71.3675,41.7338,-71.3675, ,
RI00-0047,A,09/21/00,NCA, ,2,10:00,2.0,41.8428,-71.3736,41.8373,-71.3761, ,
RI00-0061,A,08/08/00,RI, ,5,20:00,2.5,41.4771,-71.3818,41.4769,-71.3807, ,
RI00-0063,A,08/08/00,RI, ,9,20:00,.,41.466,-71.4125,41.4804,-71.4089, ,
RI00-0065,A,08/11/00,RI, ,2,20:00,.,41.5982,-71.2316,41.606,-71.2314, ,
RI00-0067,A,08/11/00,RI, ,11,20:00,.,41.6815,-71.2218,41.6848,-71.2314, ,
RI00-0069,A,08/10/00,RI, ,9,20:00,.,41.5245,-71.3438,.,., ,
RI00-0073,A,08/10/00,RI, ,7,20:00,.,41.5529,-71.4109,41.5602,-71.4179, ,
RI00-0075,A,08/09/00,RI, ,6,19:00,.,41.6603,-71.3754,41.6696,-71.3633, ,
RI00-0077,A,08/09/00,RI, ,5,20:00,.,41.673,-71.3317,41.668,-71.3311, ,
RI00-0081,A,08/10/00,RI, ,8,20:00,.,41.6554,-71.2414,41.6448,-71.2496, ,
RI00-0083,A,08/11/00,RI, ,10,20:00,.,41.5678,-71.2202,41.5812,-71.2203, ,
CT01-0050,A,09/12/01,CT, ,2,30:00,.,41.25,-72.33,.,., ,
CT01-0052,A,09/12/01,CT, ,8,30:00,.,41.24,-72.4,.,., ,
CT01-0054,A,09/14/01,CT, ,16,30:00,.,41.24,-72.57,.,., ,
CT01-0056,A,09/14/01,CT, ,16,30:00,.,41.21,-72.72,.,., ,
CT01-0058,A,09/18/01,CT, ,15,30:00,.,41.08,-72.76,.,., ,
CT01-0060,A,09/17/01,CT, ,16,30:00,.,41.1,-72.66,.,., ,
CT01-0062,A,09/24/01,CT, ,18,30:00,.,41.01,-73.5,.,., ,
CT01-0064,A,09/21/01,CT, ,16,30:00,.,41.08,-73.08,.,., ,
CT01-0066,A,09/21/01,CT, ,14,30:00,.,41.06,-73.27,.,., ,
CT01-0068,A,09/24/01,CT, ,18,30:00,.,40.96,-73.41,.,., ,
CT01-0070,A,09/26/01,CT, ,15,30:00,.,40.94,-73.64,.,., ,
CT01-0072,A,09/27/01,CT, ,20,30:00,.,41.19,-73.01,.,., ,
DE01-0002,A,09/18/01,NCA, ,2,10:54,1.9,38.474,-75.0708,38.4735,-75.0676, ,
DE01-0004,A,09/18/01,NCA,UNSUCCESSFUL,.,12:07,1.7,38.4856,-75.0692,.,., ,
DE01-0006,A,09/17/01,NCA, ,4,10:25,.,38.5576,-75.7008,38.5587,-75.6973, ,
DE01-0008,A,09/17/01,NCA, ,1,13:06,2.2,38.5661,-75.6314,38.5653,-75.6314, ,
DE01-0010,A,09/19/01,NCA, ,1,11:20,1.9,38.5683,-75.1839,38.5717,-75.1823, ,
DE01-0014,A,10/01/01,NCA, ,7,09:42,1.9,38.6034,-75.6548,38.6054,-75.6521, ,
DE01-0016,A,09/19/01,NCA, ,1,09:50,1.6,38.5908,-75.2438,38.591,-75.2433, ,
DE01-0022,A,10/01/01,NCA,UNSUCCESSFUL,.,10:54,1.9,38.6307,-75.6182,38.6329,-75.6178, ,
DE01-0026,A,09/20/01,NCA, ,2,11:34,1.9,38.6339,-75.0839,38.6334,-75.084, ,
DE01-0028,A,10/02/01,NCA, ,7,11:56,1.9,38.6624,-75.1742,38.6647,-75.1794, ,
DE01-0030,A,09/20/01,NCA,UNSUCCESSFUL,.,13:08,2.0,38.6569,-75.1039,38.6608,-75.1063, ,
DE01-0034,A,10/03/01,NCA,UNSUCCESSFUL,.,11:34,.,38.6832,-75.0868,38.6826,-75.0857, ,
DE01-0036,A,08/01/01,NCA, ,5,10:00,.,39.2426,-75.4022,39.2461,-75.4022, ,
DE01-0038,A,08/01/01,NCA, ,4,10:00,1.6,39.2308,-75.3953,39.2339,-75.3977, ,
DE01-0040,A,10/04/01,NCA, ,9,10:00,1.7,39.085,-75.2796,39.0773,-75.2755, ,
DE01-0042,A,10/05/01,NCA, ,11,10:00,1.4,38.9359,-75.1905,38.9295,-75.1863, ,
DE01-0044,A,10/05/01,NCA, ,13,10:00,1.7,38.8738,-75.1277,38.8784,-75.1345, ,
DE01-0048,A,10/10/01,NCA, ,9,10:00,1.7,39.7203,-75.5053,39.7155,-75.5065, ,
DE01-0050,A,10/07/01,NCA, ,10,10:00,1.7,39.5881,-75.5623,39.591,-75.5626, ,
DE01-0052,A,10/07/01,NCA, ,12,10:00,1.7,39.4559,-75.5642,39.4519,-75.5588, ,
DE01-0054,A,10/06/01,NCA, ,14,10:00,1.5,39.2981,-75.3795,39.3003,-75.3826, ,
DE01-0056,A,10/04/01,NCA, ,12,10:00,1.5,39.1642,-75.2815,39.1691,-75.2852, ,
DE01-0058,A,07/31/01,NCA, ,8,10:00,2.0,38.954,-75.3206,38.9519,-75.3221, ,
DE01-0060,A,07/31/01,NCA, ,5,10:00,.,39.0496,-75.3935,39.0468,-75.3935, ,
DE01-0062,A,08/02/01,NCA, ,2,10:00,.,39.0703,-75.4154,39.0707,-75.4117, ,
DE01-0064,A,08/01/01,NCA,UNSUCCESSFUL,1, ,1.2,39.2442,-75.5664,.,., ,
DE01-0066,A,07/30/01,NCA, ,3,10:00,1.5,39.3442,-75.4997,39.3447,-75.4998, ,
DE01-0068,A,07/30/01,NCA, ,5,10:00,1.1,39.4608,-75.6373,39.4613,-75.6391, ,
DE01-0072,A,10/11/01,NCA, ,9,10:00,1.8,39.7189,-75.5239,39.7202,-75.5222, ,
DE01-0074,A,08/21/01,NCA, ,4,10:00,.,39.7353,-75.5587,39.7364,-75.5896, ,
DE01-0076,A,10/02/01,NCA, ,2,10:56,1.9,38.6556,-75.1776,38.657,-75.1805, ,
ME01-0078,A,08/22/01,NH, ,0,04:00,2.6,43.1028,-70.7882,43.1024,-70.787, ,
ME01-0086,A,08/22/01,NH,UNSUCCESSFUL,1,04:00,3.7,43.1228,-70.8217,43.1236,-70.823, ,
NH01-0002,A,09/07/01,NH, ,1,04:00,2.2,42.8755,-70.8265,42.8769,-70.8287, ,
NH01-0004,A,09/07/01,NH, ,2,04:00,2.5,42.8891,-70.8262,42.8909,-70.8266, ,
NH01-0012,A,08/28/01,NH,UNSUCCESSFUL,.,04:00,.,.,.,.,., ,
NH01-0018,A,08/17/01,NH, ,7,04:00,2.8,43.0608,-70.8846,43.0613,-70.8813, ,
NH01-0020,A,08/16/01,NH, ,1,04:00,2.7,43.0539,-70.836,43.0562,-70.8385, ,
NH01-0022,A,09/10/01,NH, ,1,04:00,2.2,43.0664,-70.7369,43.0671,-70.7338, ,
