Dataset:              Station Location and Information Data
File Name:            CP_STAT.txt
Date Created:         02Dec1998
# Variables:          12
# Header Records:     22
# Data Records:       343
Missing Value Symbol: .

Variables:    STA_NAME     Carolinian Province Office Station Name
              CLASCODE     Carolinian Province Office Station Type
              STRATA       Estuary Class Code
              STA_AREA     Statistical Area of Station (sq. km)
              ESTUARY      Estuary Name
              LATDEG       Latitude (decimal degrees)
              LNGDEG       Longitude (-decimal degrees)
              DEPTH        Depth (m) at Time of WQ Profile
              STATE        State of Estuary (2 Letter Postal Code)
              EMAPSTAT     EMAP Station Name
              SEGMENT      EMAP River Segment Number (SPUNIT)
              MAIASTAT     MAIA Station Code

STA_NAME;CLASCODE;STRATA;STA_AREA;ESTUARY;LATDEG;LNGDEG;DEPTH;STATE;EMAPSTAT;SEGMENT;MAIASTAT
CP94LTH;Supplement; ;.;Lighthouse Creek;32.7025;-79.9203;2.0;SC; ; ; 
CP94MI_;Supplement; ;.;Masonboro Island;34.1553;-77.8495;2.2;NC; ; ; 
CP94NMK;Supplement; ;.;Newmarket Creek;32.8068;-79.9352;1.7;SC; ; ; 
CP94NOI;Supplement; ;.;Noisette Creek;32.8722;-79.9713;.;SC; ; ; 
CP94PLM;Supplement; ;.;Plum Island;32.7630;-79.9477;1.8;SC; ; ; 
CP94RC_;Supplement; ;.;Rachel Carson;34.7032;-76.6212;1.6;NC; ; ; 
CP94SPY;Supplement; ;.;Shipyard Creek;32.8395;-79.9445;.;SC; ; ; 
CP94ZI_;Supplement; ;.;Zeke's Island;33.9530;-77.9378;1.2;NC; ; ; 
CP95101;Random-Base;SR;104.9;Back Bay;36.6212;-75.9592;1.4;VA;CA95SR01; ; 
CP95102;Random-Base;SR;13.7;Coinjock Bay;36.4212;-75.9855;1.1;NC;CA95SR02; ; 
CP95103;Random-Base;SR;129.3;Chowan River;36.2737;-76.6893;3.6;NC;CA95SR04; ; 
CP95104;Random-Base;SR;26.8;Little River;36.1670;-76.2488;2.0;NC;CA95SR03; ; 
CP95105;Random-Base;LR;280.0;Currituck Sound;36.0758;-75.7730;2.2;NC;CA95LR01; ; 
CP95106;Random-Base;SR;13.0;Kitty Hawk Bay;36.0413;-75.7152;1.7;NC;CA95SR07; ; 
CP95107;Random-Base;LR;280.0;Albemarle Sound;36.0388;-76.2692;6.3;NC;CA95LR02; ; 
CP95108;Random-Base;LR;280.0;Albemarle Sound;35.9403;-76.6182;1.0;NC;CA95LR04; ; 
CP95109;Random-Base;SR;17.1;Little Alligator River;35.9368;-76.1015;2.2;NC;CA95SR05; ; 
CP95110;Random-Base;SP;17.1;Little Alligator River;35.9168;-76.0758;1.3;NC;CA95SP05; ; 
CP95111;Random-Base;SR;7.4;South Lake;35.8932;-75.8797;1.5;NC;CA95SR06; ; 
CP95112;Random-Base;LR;280.0;Pamlico Sound;35.8307;-75.6695;1.0;NC;CA95LR17; ; 
CP95113;Random-Base;LR;280.0;Pamlico Sound;35.7308;-75.6803;3.8;NC;CA95LR16; ; 
CP95114;Random-Base;SR;7.8;Pungo Creek;35.5143;-76.6397;2.0;NC;CA95SR11; ; 
CP95115;Random-Base;LR;280.0;Pamlico Sound;35.4645;-75.5753;4.4;NC;CA95LR15; ; 
CP95116;Random-Base;SR;108.3;Pongo River;35.4493;-76.5890;3.6;NC;CA95SR10; ; 
CP95117;Random-Base;LR;280.0;Pamlico Sound;35.4312;-75.7908;6.0;NC;CA95LR14; ; 
CP95118;Random-Base;SR;16.3;Wysocking Bay;35.4217;-76.0403;1.5;NC;CA95SR08; ; 
CP95119;Random-Base;LR;280.0;Pamlico Sound;35.4043;-75.9433;5.0;NC;CA95LR13; ; 
CP95120;Random-Base;SR;3.5;Durham Creek;35.3788;-76.8252;1.5;NC;CA95SR12; ; 
CP95121;Random-Base;RR;150.1;Pamlico River;35.3747;-76.6892;3.8;NC;CA95RR02;102; 
CP95122;Random-Base;RP;150.1;Pamlico River;35.3720;-76.6705;4.0;NC;CA95RP02;102; 
CP95123;Random-Base;LR;280.0;Pamlico Sound;35.3672;-75.6105;4.5;NC;CA95LR12; ; 
CP95124;Random-Base;RR;208.7;Pamlico River;35.3578;-76.5450;5.0;NC;CA95RR01;101; 
CP95125;Random-Base;LR;280.0;Pamlico Sound;35.3507;-76.0888;2.5;NC;CA95LR11; ; 
CP95126;Random-Base;SR;8.7;Juniper Bay;35.3400;-76.2522;1.6;NC;CA95SR09; ; 
CP95127;Random-Base;LR;280.0;Pamlico Sound;35.3335;-76.3052;2.4;NC;CA95LR10; ; 
CP95128;Random-Base;SP;6.5;Mouse Harbor;35.2987;-76.4903;2.0;NC;CA95SP13; ; 
CP95129;Random-Base;SR;6.5;Mouse Harbor;35.2788;-76.4907;1.0;NC;CA95SR13; ; 
CP95130;Random-Base;LR;280.0;Pamlico Sound;35.2727;-75.8868;5.3;NC;CA95LR09; ; 
CP95131;Random-Base;LR;280.0;Pamlico Sound;35.2248;-76.1518;6.3;NC;CA95LR08; ; 
CP95132;Random-Base;LR;280.0;Pamlico Sound;35.2200;-75.8525;4.0;NC;CA95LR07; ; 
CP95133;Random-Base;LR;280.0;Pamlico Sound;35.1933;-75.7788;2.3;NC;CA95LR06; ; 
CP95134;Random-Base;SR;4.7;Bonner Bay;35.1483;-76.5903;1.0;NC;CA95SR14; ; 
CP95135;Random-Base;LR;280.0;Pamlico Sound;35.0823;-76.0025;0.9;NC;CA95LR05; ; 
CP95136;Random-Base;RR;268.1;Neuse River;35.0553;-76.5050;6.4;NC;CA95RR03;201; 
CP95137;Random-Base;SR;5.0;Rattan Bay;35.0463;-76.4815;.;NC;CA95SR16; ; 
CP95138;Random-Base;SP;4.7;Bonner Bay;35.1543;-76.5995;0.8;NC;CA95SP14; ; 
CP95139;Random-Base;RR;144.3;Neuse River;35.0087;-76.6745;6.6;NC;CA95RR04;202; 
CP95140;Random-Base;SR;8.9;Adams Creek;34.9218;-76.6605;1.9;NC;CA95SR15; ; 
CP95141;Random-Base;SR;9.9;Thorofare Bay;34.9160;-76.3360;1.7;NC;CA95SR17; ; 
CP95142;Random-Base;SR;36.2;Newport River;34.7703;-76.6852;1.3;NC;CA95SR19; ; 
CP95143;Random-Base;SR;13.2;Jarrett Bay;34.7542;-76.4958;1.5;NC;CA95SR18; ; 
CP95144;Random-Base;SR;19.7;White Oak River;34.6922;-77.1062;0.5;NC;CA95SR20; ; 
CP95145;Random-Base;SR;10.7;Stump Sound;34.4793;-77.4725;0.5;NC;CA95SR21; ; 
CP95146;Random-Base;SR;88.2;Cape Fear River;33.9375;-77.9808;13.0;NC;CA95SR22; ; 
CP95147;Random-Base;SP;88.2;Cape Fear River;34.0335;-77.9385;6.1;NC;CA95SP22; ; 
CP95148;Random-Base;SR;4.2;Shallotte River;33.9185;-78.3718;2.7;NC;CA95SR23; ; 
CP95149;Random-Base;SR;60.9;Winyah Bay;33.3412;-79.2742;6.0;SC;CA95SR24; ; 
CP95150;Random-Base;SR;9.0;South Santee River;33.1548;-79.3543;4.2;SC;CA95SR25; ; 
CP95151;Random-Base;SP;13.4;Ashley River;32.7847;-79.9657;7.4;SC;CA95SP27; ; 
CP95152;Random-Base;SR;13.4;Ashley River;32.7838;-79.9617;9.0;SC;CA95SR27; ; 
CP95153;Random-Base;SR;3.5;Hamlin Creek;32.7827;-79.8043;3.2;SC;CA95SR26; ; 
CP95154;Random-Base;SR;7.5;Parrot Point Creek;32.7315;-79.8815;1.2;SC;CA95SR28; ; 
CP95155;Random-Base;SR;39.7;North Edisto River;32.6018;-80.2367;11.4;SC;CA95SR29; ; 
CP95156;Random-Base;SR;27.1;South Edisto River;32.5908;-80.3983;6.7;SC;CA95SR30; ; 
CP95157;Random-Base;SR;11.2;Bull River;32.5325;-80.5715;10.6;SC;CA95SR32; ; 
CP95158;Random-Base;SR;42.0;Coosaw River;32.5115;-80.6057;4.8;SC;CA95SR31; ; 
CP95159;Random-Base;SR;40.1;Port Royal Sound;32.2657;-80.6943;11.1;SC;CA95SR33; ; 
CP95160;Random-Base;SR;3.6;Skull Creek;32.2482;-80.7525;2.1;SC;CA95SR34; ; 
CP95161;Random-Base;SR;48.0;Tybee Roads;32.0803;-80.8798;5.3;GA;CA95SR35; ; 
CP95162;Random-Base;SR;6.3;South Channel;32.0257;-80.9117;3.6;GA;CA95SR36; ; 
CP95163;Random-Base;SR;8.5;Bull River;31.9862;-80.9290;8.4;GA;CA95SR37; ; 
CP95164;Random-Base;SR;29.2;Ogeechee River;31.8607;-81.1085;6.6;GA;CA95SR38; ; 
CP95165;Random-Base;SR;28.1;North Newport River;31.6893;-81.1915;8.0;GA;CA95SR39; ; 
CP95166;Random-Base;SR;10.4;Mud River;31.4935;-81.2935;2.1;GA;CA95SR40; ; 
CP95167;Random-Base;SR;12.5;Hampton River;31.2573;-81.3260;3.5;GA;CA95SR41; ; 
CP95168;Random-Base;SR;25.5;Jointer Creek;31.0720;-81.4950;7.1;GA;CA95SR42; ; 
CP95169;Random-Base;SR;27.3;Cumberland River;30.9265;-81.4620;6.1;GA;CA95SR43; ; 
CP95170;Random-Base;SR;9.9;South Amelia River;30.5592;-81.4698;5.0;FL;CA95SR44; ; 
CP95171;Random-Base;SR;188.0;Saint Johns River;30.3928;-81.5537;11.0;FL;CA95SR45; ; 
CP95172;Random-Base;SR;14.3;Doctors Lake;30.1352;-81.7305;3.0;FL;CA95SR46; ; 
CP95173;Random-Base;SR;7.0;ICW-Northern;29.5643;-81.1848;5.0;FL;CA95SR47; ; 
CP95174;Random-Base;SR;28.5;Halifax River;29.2397;-81.0265;1.5;FL;CA95SR48; ; 
CP95175;Random-Base;RR;44.4;Indian River Lagoon;28.7397;-80.7962;1.6;FL;CA95RR18;310; 
CP95176;Random-Base;RP;37.4;Indian River Lagoon;28.5018;-80.7487;1.5;FL;CA95RP17;309; 
CP95177;Random-Base;RR;37.4;Indian River Lagoon;28.4637;-80.7393;1.7;FL;CA95RR17;309; 
CP95178;Random-Base;SP;12.3;Newfound Harbor;28.3677;-80.6810;1.3;FL;CA95SP49; ; 
CP95179;Random-Base;SR;12.3;Newfound Harbor;28.3528;-80.6738;0.9;FL;CA95SR49; ; 
CP95180;Random-Base;RR;37.7;Indian River Lagoon;28.2933;-80.6852;2.2;FL;CA95RR16;308; 
CP95181;Random-Base;RR;40.4;Indian River Lagoon;28.1417;-80.6180;3.4;FL;CA95RR15;307; 
CP95182;Random-Base;RR;36.3;Indian River Lagoon;27.9935;-80.5350;2.0;FL;CA95RR14;306; 
CP95183;Random-Base;RR;32.6;Indian River Lagoon;27.8273;-80.4507;1.6;FL;CA95RR13;305; 
CP95184;Random-Base;RR;32.9;Indian River Lagoon;27.7142;-80.3995;0.6;FL;CA95RR12;304; 
CP95185;Random-Base;RR;33.3;Indian River Lagoon;27.5778;-80.3568;1.3;FL;CA95RR11;303; 
CP95186;Random-Base;RR;33.7;Indian River Lagoon;27.3652;-80.2655;1.6;FL;CA95RR10;302; 
CP95187;Random-Base;RP;33.7;Indian River Lagoon;27.3457;-80.2682;2.0;FL;CA95RP10;302; 
CP95188;Random-Base;RR;34.1;Indian River Lagoon;27.2707;-80.2220;2.3;FL;CA95RR09;301; 
CP95ASM;Supplement; ;.;Ashley Marina -Ashley River;32.7802;-79.9547;0.8;SC; ; ; 
CP95CB_;Supplement; ;.;Currituck Bank (NERRS Site);36.4000;-75.8445;1.0;NC; ; ; 
CP95CF_;Supplement; ;.;Cape Fear River;34.1242;-77.9273;1.4;NC; ; ; 
CP95DIE;Supplement; ;.;Diesel Site -Ashley River;32.8043;-79.9660;1.2;SC; ; ; 
CP95FOS;Supplement; ;.;Fosters Creek -Wando River;32.8600;-79.8545;2.5;SC; ; ; 
CP95KIA;Supplement; ;.;Kiawah River;32.6032;-80.1320;.;SC; ; ; 
CP95KOP;Supplement; ;.;Kopper's Site -Ashley River;32.8285;-79.9652;1.7;SC; ; ; 
CP95LON;Supplement; ;.;Long Creek and Bohicket Creek;32.6847;-80.1230;.;SC; ; ; 
CP95LTH;Supplement; ;.;Lighthouse Creek;32.7023;-79.9203;2.4;SC; ; ; 
CP95MI_;Supplement; ;.;Masonboro Island (NERRS Site);34.1555;-77.8500;0.9;NC; ; ; 
CP95NMK;Supplement; ;.;Newmarket Creek -Cooper River;32.8072;-79.9407;1.7;SC; ; ; 
CP95NV1;Supplement; ;.;Navy Base(North) -Cooper River;32.8672;-79.9640;8.1;SC; ; ; 
CP95NV2;Supplement; ;.;Navy Base(South) -Cooper River;32.8458;-79.9332;3.0;SC; ; ; 
CP95PR1;Supplement; ;.;Pamlico River;35.3542;-76.6525;2.9;NC; ; ; 
CP95PR2;Supplement; ;.;Pamlico River;35.3678;-76.6168;4.8;NC; ; ; 
CP95PR3;Supplement; ;.;Pamlico River;35.4005;-76.7513;4.6;NC; ; ; 
CP95PR4;Supplement; ;.;Pamlico River;35.4083;-76.7747;4.0;NC; ; ; 
CP95PR5;Supplement; ;.;Pamlico River;35.4338;-76.8255;4.3;NC; ; ; 
CP95RC_;Supplement; ;.;Rachel Carson Reserve (NERRS);34.7112;-76.6472;0.5;NC; ; ; 
CP95SPY;Supplement; ;.;Shipyard Creek -Cooper River;32.8388;-79.9448;2.5;SC; ; ; 
CP95ZI_;Supplement; ;.;Zeke's Island (NERRS Site);33.9555;-77.9388;1.0;NC; ; ; 
