Dataset:              Fish Species Abundance Data
File Name:            va91_4_2.txt
Date Created:         02/23/96
# Variables:          6
# Header Records:     16
# Data Records:       477
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              DATE         Sample collection date (YYMMDD)
              LATIN NAME   Scientific (Latin) name
              T_ABN        # of individuals collected of the taxon
              M_LEN        Mean length (mm) of fish in taxon
              SDLEN        Standard dev. (mm) of length

STA_NAME   DATE LATIN NAME                               T_ABN    M_LEN  SDLEN
VA91-315 910724 PARALICHTHYS DENTATUS                        1   202.00    .  
VA91-316 910827 LEIOSTOMUS XANTHURUS                        31   118.47  12.26
VA91-316 910827 MICROPOGONIAS UNDULATUS                      8   169.88   8.08
VA91-316 910827 PEPRILUS ALEPIDOTUS                          5    66.20  21.75
VA91-316 910827 TRINECTES MACULATUS                          7    86.29   7.50
VA91-317 910829 CYNOSCION REGALIS                            4    71.25   9.25
VA91-317 910829 LEIOSTOMUS XANTHURUS                         4   133.25  20.90
VA91-317 910829 MENTICIRRHUS AMERICANUS                      1   125.00    .  
VA91-317 910829 MICROPOGONIAS UNDULATUS                      1   202.00    .  
VA91-317 910829 PEPRILUS ALEPIDOTUS                          2    64.00  12.73
VA91-317 910829 TRINECTES MACULATUS                         54    98.83  16.75
VA91-319 910723 LEIOSTOMUS XANTHURUS                         8   112.38   5.83
VA91-319 910723 MICROPOGONIAS UNDULATUS                     26   126.50   5.97
VA91-319 910723 MORONE AMERICANA                            61   129.93  26.72
VA91-322 910815 LEIOSTOMUS XANTHURUS                        52   121.28  14.17
VA91-322 910815 MICROPOGONIAS UNDULATUS                     48   176.53  15.06
VA91-322 910815 PEPRILUS ALEPIDOTUS                          1    57.00    .  
VA91-322 910815 SYNODUS FOETENS                              6   157.50  35.39
VA91-322 910815 TRINECTES MACULATUS                          3   107.33  16.17
VA91-325 910815 NO ORGANISMS PRESENT                         0      .      .  
VA91-326 910723 ALOSA PSEUDOHARENGUS                         1    63.00    .  
VA91-326 910723 AMEIURUS NEBULOSUS                           1   284.00    .  
VA91-326 910723 DOROSOMA CEPEDIANUM                          1   110.00    .  
VA91-326 910723 ICTALURUS PUNCTATUS                          7   161.86  17.99
VA91-326 910723 LEPOMIS GIBBOSUS                             1    90.00    .  
VA91-326 910723 MORONE AMERICANA                             8   110.00  18.13
VA91-326 910723 TRINECTES MACULATUS                          1   100.00    .  
VA91-328 910822 ANCHOA MITCHILLI                            14    71.93   6.39
VA91-328 910822 CYNOSCION REGALIS                           14   149.29  19.21
VA91-328 910822 LEIOSTOMUS XANTHURUS                        31   149.97  12.83
VA91-328 910822 MICROPOGONIAS UNDULATUS                      9   191.89  62.32
VA91-328 910822 PARALICHTHYS DENTATUS                        1   178.00    .  
VA91-328 910822 PEPRILUS ALEPIDOTUS                          1    69.00    .  
VA91-328 910822 SCOMBEROMORUS MACULATUS                      1   124.00    .  
VA91-328 910822 SYNODUS FOETENS                              1   139.00    .  
VA91-330 910817 LEIOSTOMUS XANTHURUS                         1   165.00    .  
VA91-330 910817 MICROPOGONIAS UNDULATUS                      1   202.00    .  
VA91-330 910817 POMATOMUS SALTATRIX                          1   253.00    .  
VA91-333 910722 AMEIURUS NEBULOSUS                           2   245.50   6.36
VA91-333 910722 CARASSIUS AURATUS                            4   267.75  21.41
VA91-333 910722 CARPIODES CYPRINUS                          12   388.42  65.04
VA91-333 910722 CYPRINUS CARPIO                              9   552.00  81.47
VA91-333 910722 DOROSOMA CEPEDIANUM                         24   114.63   8.00
VA91-333 910722 ICTALURUS PUNCTATUS                         13   203.46  78.08
VA91-333 910722 LEPOMIS GIBBOSUS                            30   112.90  19.67
VA91-333 910722 MORONE AMERICANA                             2   130.50   3.54
VA91-333 910722 PERCA FLAVESCENS                             9   178.89  42.32
VA91-335 910904 CYNOSCION REGALIS                           10   156.40  22.12
VA91-335 910904 OPSANUS TAU                                  2   124.00  77.78
VA91-335 910904 SCOPHTHALMUS AQUOSUS                         1   154.00    .  
VA91-335 910904 TRINECTES MACULATUS                          1   162.00    .  
VA91-336 910816 BREVOORTIA TYRANNUS                          2   116.00   5.66
VA91-336 910816 LEIOSTOMUS XANTHURUS                        26   153.19  19.95
VA91-336 910816 MICROPOGONIAS UNDULATUS                     19   191.00  14.02
VA91-336 910816 OPSANUS TAU                                  4   219.25  41.49
VA91-336 910816 PARALICHTHYS DENTATUS                        1   257.00    .  
VA91-336 910816 POMATOMUS SALTATRIX                          1   114.00    .  
VA91-336 910816 TRINECTES MACULATUS                         14   132.93  29.41
VA91-337 910904 CYNOSCION REGALIS                           47   127.83  21.86
VA91-337 910904 DASYATIS SAY                                 3   496.67  41.63
VA91-337 910904 MICROPOGONIAS UNDULATUS                      3   216.33   8.39
VA91-337 910904 MONACANTHUS HISPIDUS                         1   128.00    .  
VA91-337 910904 OPSANUS TAU                                  2   222.50   7.78
VA91-337 910904 PARALICHTHYS DENTATUS                        1   335.00    .  
VA91-337 910904 PEPRILUS TRIACANTHUS                         1   100.00    .  
VA91-337 910904 RAJA EGLANTERIA                              2   585.00  77.78
VA91-337 910904 SCOPHTHALMUS AQUOSUS                        11   206.45  42.01
VA91-337 910904 STENOTOMUS CHRYSOPS                          7   170.71   6.52
VA91-337 910904 TRINECTES MACULATUS                         11   139.64  27.19
VA91-337 910904 UROPHYCIS REGIA                              2   253.00  29.70
VA91-338 910726 CENTROPRISTIS STRIATA                        1   160.00    .  
VA91-338 910726 CYNOSCION REGALIS                           39   126.70  15.80
VA91-338 910726 ETROPUS MICROSTOMUS                          3   105.67  28.36
VA91-338 910726 LEIOSTOMUS XANTHURUS                         9   164.78   7.31
VA91-338 910726 MENTICIRRHUS SAXATILIS                       3   153.33  11.37
VA91-338 910726 MICROPOGONIAS UNDULATUS                      3   220.67  18.18
VA91-338 910726 OPSANUS TAU                                  2   241.00   4.24
VA91-338 910726 PARALICHTHYS DENTATUS                        1   330.00    .  
VA91-338 910726 PEPRILUS TRIACANTHUS                         2   156.00  31.11
VA91-338 910726 PRIONOTUS CAROLINUS                         31   167.77  20.25
VA91-338 910726 PRIONOTUS EVOLANS                            4   165.25   9.67
VA91-338 910726 RAJA EGLANTERIA                              1   540.00    .  
VA91-338 910726 SCOPHTHALMUS AQUOSUS                        68   171.47   9.30
VA91-338 910726 SPHOEROIDES MACULATUS                        2    97.50  10.61
VA91-338 910726 TRINECTES MACULATUS                         31   113.27  21.94
VA91-339 910728 LEIOSTOMUS XANTHURUS                        61   151.17  23.68
VA91-339 910728 MICROPOGONIAS UNDULATUS                    580   149.82  20.87
VA91-339 910728 OPSANUS TAU                                  3   207.33   9.02
VA91-339 910728 PARALICHTHYS DENTATUS                        1   295.00    .  
VA91-339 910728 POMATOMUS SALTATRIX                          1   139.00    .  
VA91-339 910728 TRINECTES MACULATUS                          4   106.50   6.24
VA91-340 910904 ANCHOA MITCHILLI                             1    69.00    .  
VA91-340 910904 CYNOSCION REGALIS                           47   167.00  54.02
VA91-340 910904 LEIOSTOMUS XANTHURUS                         5   152.40   5.41
VA91-340 910904 MICROPOGONIAS UNDULATUS                      4   202.50   5.74
VA91-340 910904 OPSANUS TAU                                  2   263.00  12.73
VA91-340 910904 PARALICHTHYS DENTATUS                        1   251.00    .  
VA91-340 910904 TRINECTES MACULATUS                         11   149.45  25.39
VA91-341 910722 CENTROPRISTIS STRIATA                        1   172.00    .  
VA91-341 910722 LEIOSTOMUS XANTHURUS                         1   160.00    .  
VA91-341 910722 OPSANUS TAU                                  1   258.00    .  
VA91-341 910722 PARALICHTHYS DENTATUS                        1   332.00    .  
VA91-341 910722 PEPRILUS TRIACANTHUS                         1    42.00    .  
VA91-341 910722 STENOTOMUS CHRYSOPS                         11   181.91   7.13
VA91-342 910723 BREVOORTIA TYRANNUS                          6   236.33  20.57
VA91-342 910723 CYNOSCION REGALIS                           21   158.29  37.54
VA91-342 910723 LEIOSTOMUS XANTHURUS                        61   177.67  26.59
VA91-342 910723 MICROPOGONIAS UNDULATUS                     50   185.00  18.10
VA91-342 910723 OPHIDION MARGINATUM                          2   200.00  14.14
VA91-342 910723 OPSANUS TAU                                  3   188.67  58.77
VA91-342 910723 PRIONOTUS EVOLANS                            1    75.00    .  
VA91-342 910723 RHINOPTERA BONASUS                           1   300.00    .  
VA91-342 910723 TRINECTES MACULATUS                         54   101.07  13.88
VA91-343 910728 ANCHOA MITCHILLI                             1    60.00    .  
VA91-343 910728 MICROPOGONIAS UNDULATUS                      8   145.00   9.34
VA91-344 910726 OPSANUS TAU                                  4   285.50  20.44
VA91-344 910726 PARALICHTHYS DENTATUS                        1   220.00    .  
VA91-344 910726 TRINECTES MACULATUS                          5   110.80  30.61
VA91-346 910827 DOROSOMA CEPEDIANUM                          6   182.00  50.82
VA91-346 910827 ICTALURUS PUNCTATUS                         29   182.72  42.83
VA91-346 910827 LEIOSTOMUS XANTHURUS                        31   128.32   7.04
VA91-346 910827 MICROPOGONIAS UNDULATUS                      4   145.25  16.36
VA91-346 910827 MORONE AMERICANA                            13   125.85  29.96
VA91-346 910827 TRINECTES MACULATUS                          1    79.00    .  
VA91-349 910724 CYNOSCION REGALIS                            2   144.00  12.73
VA91-349 910724 LEIOSTOMUS XANTHURUS                         1   131.00    .  
VA91-349 910724 STENOTOMUS CHRYSOPS                         11   140.45  11.85
VA91-349 910724 TRINECTES MACULATUS                          1   152.00    .  
VA91-352 910828 CYNOSCION REGALIS                            2    80.50  19.09
VA91-352 910828 ICTALURUS PUNCTATUS                          2   195.00  63.64
VA91-352 910828 MORONE AMERICANA                            22   153.45  23.59
VA91-352 910828 TRINECTES MACULATUS                         18    95.06  21.57
VA91-353      .                                              .      .      .  
VA91-355 910809 LEIOSTOMUS XANTHURUS                         2   117.50   0.71
VA91-355 910809 MICROGADUS TOMCOD                            3    90.67  20.26
VA91-355 910809 MICROPOGONIAS UNDULATUS                      2   160.00  11.31
VA91-355 910809 MORONE AMERICANA                             1   173.00    .  
VA91-355 910809 TRINECTES MACULATUS                         10    77.00   7.15
VA91-357 910809 ALOSA PSEUDOHARENGUS                         3    76.00   1.00
VA91-357 910809 ICTALURUS PUNCTATUS                         12   136.58  73.15
VA91-357 910809 LEIOSTOMUS XANTHURUS                         9   142.78   8.14
VA91-357 910809 MORONE AMERICANA                            39   127.47  25.20
VA91-357 910809 TRINECTES MACULATUS                         10    65.30   7.33
VA91-358 910810 ALOSA PSEUDOHARENGUS                        30    74.90   2.55
VA91-358 910810 ICTALURUS PUNCTATUS                          1   275.00    .  
VA91-358 910810 LEIOSTOMUS XANTHURUS                         1   123.00    .  
VA91-358 910810 MORONE AMERICANA                            21   154.05  29.80
VA91-360 910810 ANCHOA MITCHILLI                             1    58.00    .  
VA91-360 910810 ICTALURUS PUNCTATUS                          5   103.20  78.71
VA91-360 910810 MORONE AMERICANA                            15   140.47  16.96
VA91-360 910810 TRINECTES MACULATUS                          8    70.88   7.02
VA91-362 910805 PARALICHTHYS DENTATUS                        4   207.25   6.95
VA91-362 910805 POMATOMUS SALTATRIX                          2   144.50  13.44
VA91-362 910805 TAUTOGA ONITIS                               1   224.00    .  
VA91-365 910811 ALOSA PSEUDOHARENGUS                        26    63.96   9.42
VA91-365 910811 ICTALURUS PUNCTATUS                          3    86.67  24.19
VA91-365 910811 MORONE AMERICANA                             8    87.88  43.77
VA91-365 910811 TRINECTES MACULATUS                          1    72.00    .  
VA91-369 910804 CYNOSCION REGALIS                          205    97.95  19.05
VA91-369 910804 MICROGADUS TOMCOD                            2   101.50  13.44
VA91-369 910804 PARALICHTHYS DENTATUS                        6   294.17  78.93
VA91-369 910804 PLEURONECTES AMERICANUS                     21   154.05  31.79
VA91-369 910804 POMATOMUS SALTATRIX                          4   138.75  10.81
VA91-369 910804 PRIONOTUS CAROLINUS                          8    75.88  12.26
VA91-369 910804 SCOPHTHALMUS AQUOSUS                         5    76.60  21.13
VA91-369 910804 SPHOEROIDES MACULATUS                       11    74.36   6.20
VA91-369 910804 STENOTOMUS CHRYSOPS                          1   177.00    .  
VA91-369 910804 SYNODUS FOETENS                              2   148.00  19.80
VA91-371 910803 CYNOSCION REGALIS                          353   130.17  10.99
VA91-371 910803 MYOXOCEPHALUS AENAEUS                        1   103.00    .  
VA91-371 910803 OPSANUS TAU                                  4   197.50  46.64
VA91-371 910803 PARALICHTHYS DENTATUS                        7   368.14  75.52
VA91-371 910803 PLEURONECTES AMERICANUS                     50   187.50  42.16
VA91-371 910803 PRIONOTUS EVOLANS                            3    99.00  17.09
VA91-371 910803 STENOTOMUS CHRYSOPS                          7   163.71   8.01
VA91-372 910803 NO ORGANISMS PRESENT                         0      .      .  
VA91-375 910807 CYNOSCION REGALIS                            1    80.00    .  
VA91-378      .                                              .      .      .  
VA91-379 910805 SCOPHTHALMUS AQUOSUS                         8    76.63   7.60
VA91-380 910817 NO ORGANISMS PRESENT                         0      .      .  
