Dataset:              Fish Species List
File Name:            fish_tax.txt
Date Created:         5/26/1999
# Variables:          5
# Header Records:     15
# Data Records:       468
Missing Value Symbol: .

Variables:    TSN          Integrated Taxonomic Information System (ITIS) serial number
              SPECCODE     EMAP Species Code
              GENUS        Genus
              SPECIES      Species
              LATNAME      Latin Name

TSN,SPECCODE,GENUS,SPECIES,LATNAME,
163998,ICTAPUNC,ICTALURUS,PUNCTATUS,ICTALURUS PUNCTATUS,
164034,AMEIUR01,AMEIURUS,SP,AMEIURUS SP,
164037,AMEICATU,AMEIURUS,CATUS,AMEIURUS CATUS,
164039,AMEIMELA,AMEIURUS,MELAS,AMEIURUS MELAS,
164041,AMEINATA,AMEIURUS,NATALIS,AMEIURUS NATALIS,
164043,AMEINEBU,AMEIURUS,NEBULOSUS,AMEIURUS NEBULOSUS,
164157,ARIID01, , ,ARIIDAE UNCL,
164158,BAGRE01,BAGRE,SP,BAGRE SP,
164159,BAGRMARI,BAGRE,MARINUS,BAGRE MARINUS,
164162,ARIUS01,ARIUS,SP,ARIUS SP,
164165,ARIUFELI,ARIUS,FELIS,ARIUS FELIS,
164411,BATRAC02, , ,BATRACHOIDIFORMES,
164412,BATRAC01, , ,BATRACHOIDIDAE UNCL,
164421,PORIPLEC,PORICHTHYS,PLECTRODON,PORICHTHYS PLECTRODON,
164422,OPSANU01,OPSANUS,SP,OPSANUS SP,
164423,OPSATAU,OPSANUS,TAU,OPSANUS TAU,
164424,OPSABETA,OPSANUS,BETA,OPSANUS BETA,
164425,OPSAPARD,OPSANUS,PARDUS,OPSANUS PARDUS,
164495,LOPHII02, , ,LOPHIIFORMES,
164497,LOPHII01, , ,LOPHIIDAE UNCL,
164498,LOPHII03,LOPHIUS, ,LOPHIUS,
164499,LOPHAMER,LOPHIUS,AMERICANUS,LOPHIUS AMERICANUS,
164573,OGCOCE02, , ,OGCOCEPHALIDAE UNCL,
164574,OGCOCE01,OGCOCEPHALUS,SP,OGCOCEPHALUS SP,
164579,OGCORADI,OGCOCEPHALUS,RADIATUS,OGCOCEPHALUS RADIATUS,
164665,GADIFO01, , ,GADIFORMES,
164701,GADIDA01, , ,GADIDAE UNCL,
164718,MICROG01,MICROGADUS,SP,MICROGADUS SP,
