PUBLICATION_DATE,TAXA_ID,TARGET_TAXON,APHIA_ID,ITISTSN,HABITAT,PHYLUM,CLASS,ORDER,FAMILY
4/27/2021,93,AMERITELLA CADIENI,878478,,EST,MOLLUSCA,BIVALVIA,CARDIIDA,TELLINIDAE
4/27/2021,94,AMERITELLA CARPENTERI,878479,,EST,MOLLUSCA,BIVALVIA,CARDIIDA,TELLINIDAE
4/27/2021,95,AMERITELLA MITCHELLI,878513,,EST,MOLLUSCA,BIVALVIA,CARDIIDA,TELLINIDAE
4/27/2021,96,AMERITELLA MODESTA,878514,,EST,MOLLUSCA,BIVALVIA,CARDIIDA,TELLINIDAE
4/27/2021,97,AMERITELLA TEXANA,878522,,EST,MOLLUSCA,BIVALVIA,CARDIIDA,TELLINIDAE
4/27/2021,98,AMERITELLA VERSICOLOR,849119,,EST,MOLLUSCA,BIVALVIA,CARDIIDA,TELLINIDAE
4/27/2021,99,AMEROCULODES,391588,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE
4/27/2021,100,AMEROCULODES EDWARDSI,547000,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE
4/27/2021,101,AMEROCULODES MILTONI,395434,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE
4/27/2021,102,AMERYCINA PERISCOPIANA,876578,,EST,MOLLUSCA,BIVALVIA,,LASAEIDAE
4/27/2021,103,AMMOTHEIDAE,1562,,EST,ARTHROPODA,PYCNOGONIDA,PANTOPODA,AMMOTHEIDAE
4/27/2021,104,AMNICOLA,159972,70747,GL,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,AMNICOLIDAE
4/27/2021,105,AMNICOLA LIMOSUS,159974,70748,GL,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,AMNICOLIDAE
4/27/2021,106,AMPELISCA,101445,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,AMPELISCIDAE
4/27/2021,107,AMPELISCA ABDITA,158020,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,AMPELISCIDAE
4/27/2021,108,AMPELISCA AGASSIZI,158021,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,AMPELISCIDAE
4/27/2021,109,AMPELISCA BRACHYCLADUS,488328,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,AMPELISCIDAE
4/27/2021,110,AMPELISCA BREVISIMULATA,421434,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,AMPELISCIDAE
4/27/2021,111,AMPELISCA CAREYI,422976,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,AMPELISCIDAE
4/27/2021,112,AMPELISCA CRISTATA,421436,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,AMPELISCIDAE
4/27/2021,113,AMPELISCA HANCOCKI,422990,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,AMPELISCIDAE
4/27/2021,114,AMPELISCA HOLMESI,421437,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,AMPELISCIDAE
4/27/2021,115,AMPELISCA MACROCEPHALA,101908,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,AMPELISCIDAE
4/27/2021,116,AMPELISCA PUGETICA,423026,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,AMPELISCIDAE
4/27/2021,117,AMPELISCA SCHELLENBERGI,421440,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,AMPELISCIDAE
4/27/2021,118,AMPELISCA VADORUM,158022,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,AMPELISCIDAE
4/27/2021,119,AMPELISCA VERRILLI,158023,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,AMPELISCIDAE
4/27/2021,120,AMPHARETE,129155,,EST,ANNELIDA,POLYCHAETA,TEREBELLIDA,AMPHARETIDAE
