Dataset:              Benthic Species List
File Name:            ben_tax.txt
Date Created:         5/26/1999
# Variables:          5
# Header Records:     15
# Data Records:       2110
Missing Value Symbol: .

Variables:    TSN          Integrated Taxonomic Information System (ITIS) serial number
              SPECCODE     EMAP Species Code
              GENUS        Genus
              SPECIES      Species
              LATNAME      Latin Name

TSN,SPECCODE,GENUS,SPECIES,LATNAME,
75994,FARGOA, , ,FARGOA SPP.,
75995,FARGBART, , ,FARGOA BARTSCHI,
75997,FARGBUSH,FARGOA,BUSHIANA,FARGOA BUSHIANA,
76001,FARGGIBB,FARGOA,GIBBOSA,FARGOA GIBBOSA,
76002,ODOSGIBB,ODOSTOMIA,GIBBOSA,ODOSTOMIA GIBBOSA,
76035,TRIPNIVE, , ,TRIPTYCHUS NIVEUS,
76048,XXXXACTE,UNID., ,ACTEONIDAE,
76049,ACTEXXXX,ACTEON,SP.,ACTEON,
76084,ACTEPUNC,ACTEON,PUNCTOSTRIATUS,ACTEON PUNCTOSTRIATUS,
76107,ACTCXXXX,ACTEOCINA,SP.,ACTEOCINA,
76117,ACTECANA,ACTEOCINA,CANALICULATA,ACTEOCINA CANALICULATA,
76141,CYLIBIDE,CYLICHNELLA,BIDENTATA,CYLICHNELLA BIDENTATA,
76144,ACTEORYZ,ACTEOCINA,ORYZA,ACTEOCINA ORYZA,
76172,CYLICHNE,CYLICHNELLA,SPP.,CYLICHNELLA,
76235,XXXXBULL,UNID.,BULLIDAE,UNID. BULLIDAE,
76237,BULLSTRI,BULLA,STRIATA,BULLA STRIATA,
76258,HAMISOLI,HAMINOEA,SOLITARIA,HAMINOEA SOLITARIA,
76260,HAMISUCC,HAMINOEA,SUCCINEA,HAMINOEA SUCCINEA,
76312,CYLIBEAU,CYLINDROBULLA,BEAUII,CYLINDROBULLA BEAUII,
76317,SCAPHFAM, , ,SCAPHANDRIDAE,
76483,LYMNAFAM, , ,LYMNAEIDAE,
76569,FERRISSI,FERRISSIA,SP.,FERRISSIA,
76591,PLANORBI, , ,PLANORBIDAE,
76621,PROMENET,PROMENETUS,SPP.,PROMENETUS,
76698,PHYSELLA,PHYSELLA,SPP.,PHYSELLA,
78156,XXXXNUDI,UNID.,NUDIBRANCHIA,UNID. NUDIBRANCHIA,
78156,NUDIBRAN, , ,NUDIBRANCHIA,
78206,XXXADORI,UNID., ,DORIDIDAE,
78439,DORIOBSC,DORIDELLA,OBSCURA,DORIDELLA OBSCURA,
78712,CRATENA,CRATENA,SPP.,CRATENA,
78713,CRATPILA,CRATENA,PILATA,CRATENA PILATA,
78781,XXXXOPIS,UNID.,OPISTHOBRANCHIA,UNID. OPISTHOBRANCHIA,
78807,POLYPLAC, , ,POLYPLACOPHORA,
78810,NEOLXXXA,NEOLORICATA,SP.A,NEOLORICATA SP.A,
78810,NEOLXXXB,NEOLORICATA,SP.B,NEOLORICATA SP.B,
78860,ISCHPAPI, , ,ISCHNOCHITON PAPILLOSUS,
78958,CHAEAPIC,CHAETOPLEURA,APICULATA,CHAETOPLEURA APICULATA,
79039,ACANPYGM, , ,ACANTHOCHITONA PYGMAEA,
79118,BIVAXXXO, ,GENUSO,BIVALVIA,
79118,BIVAXXXL, ,GENUSL,BIVALVIA,
79118,BIVAXXXI, ,GENUSI,BIVALVIA,
79118,BIVAXXXG,GENUSG, ,BIVALVIA,
79118,BIVAXXXJ, ,GENUSJ,BIVALVIA,
79118,BIVAXXXC,GENUSC, ,BIVALVIA,
79118,BIVALSUS,UNIDENTIFIED-SUSP, ,BIVALVIA: OTHER - SUSPENSION FEEDERS,
79118,BIVAXXXE,GENUSE, ,BIVALVIA,
79118,XXXXBIVA, , ,BIVALVIA,
79118,BIVASPEA, , ,BIVALVIA SP. A MOUNTFORD,
79118,BIVALDEP,UNIDENTIFIED-DEP, ,BIVALVIA: OTHER - DEPOSIT FEEDERS,
79118,BIVAXXXF,GENUSF, ,BIVALVIA,
79118,BIVAXXXP, ,GENUSP,BIVALVIA,
79118,BIVAXXXQ,BIVALVIA,GENUSQ,BIVALVIA GENUSQ,
79118,BIVAXXXH, ,GENUSH,BIVALVIA,
79118,BIVAXXXD,GENUSD, ,BIVALVIA,
79118,BIVALVIA,UNIDENTIFIED, ,BIVALVIA: OTHER - UNIDENTIFIED,
79118,BIVAXXXM, ,GENUSM,BIVALVIA,
79118,BIVAXXXB,GENUSB, ,BIVALVIA,
79118,BIVAXXXR,BIVALVIA,GENUSR,BIVALVIA GENUSR,
79118,BIVAXXXK, ,GENUSK,BIVALVIA,
79118,BIVAXXXN, ,GENUSN,BIVALVIA,
79126,NUCULA,NUCULA,SPP.,NUCULA,
79133,NUCUANNU,NUCULA,ANNULATA,NUCULA ANNULATA,
79134,NUCUDELP,NUCULA,DELPHINODONTA,NUCULA DELPHINODONTA,
79142,NUCUCREN,NUCULA,CRENULATA,NUCULA CRENULATA,
79177,NUCULANI,UNID., ,NUCULANIDAE,
79195,NUCUACUT,NUCULANA,ACUTA,NUCULANA ACUTA,
79205,NUCUCONC,NUCULANA,CONCENTRICA,NUCULANA CONCENTRICA,
79258,YOLDIA, , ,YOLDIA SPP.,
79273,YOLDLIMA,YOLDIA,LIMATULA,YOLDIA LIMATULA,
79313,SOLEMYID,UNID., ,SOLEMYIDAE,
79314,SOLEMYA,SOLEMYA,SPP.,SOLEMYA,
79316,SOLEVELU,SOLEMYA,VELUM,SOLEMYA VELUM,
79319,SOLEOCCI, , ,SOLEMYA OCCIDENTALIS,
79319,SOLEOCCI,SOLEMYA,OCCIDENTALIS,SOLEMYA OCCIDENTALIS,
79326,XXXXARCI,UNID., ,ARCIDAE,
79326,ARCIDFAM, , ,ARCIDAE,
79337,ANADXXXX,ANADARA,SP.,ANADARA SP.,
79340,ANADTRAN,ANADARA,TRANSVERSA,ANADARA TRANSVERSA,
79342,ANADOVAL,ANADARA,OVALIS,ANADARA OVALIS,
79351,ANADBAUG,ANADARA,BAUGHMANI,ANADARA BAUGHMANI,
79353,ANADNOTA,ANADARA,NOTABILIS,ANADARA NOTABILIS,
79353,ANADNOTA, , ,ANADARA NOTABILIS,
79368,ARCAZEBR,ARCA,ZEBRA,ARCA ZEBRA,
79407,LIMOMINU,LIMOPSIS,MINUTA,LIMOPSIS MINUTA,
79428,GLYCPECT, , ,GLYCYMERIS PECTINATA,
79451,MYTIXXXA,MYTILIDAE,SP.A,MYTILIDAE SP.A,
79451,XXXXMYTI,UNID., ,MYTILIDAE,
79451,MYTILIDA,UNIDENTIFIED, ,MYTILIDAE,
79454,MYTIEDUL,MYTILUS,EDULIS,MYTILUS EDULIS,
79457,CRENELLA,CRENELLA,SPP.,CRENELLA,
79459,CRENDECU, , ,CRENELLA DECUSSATA,
79461,CRENGLAN,CRENELLA,GLANDULA,CRENELLA GLANDULA,
79463,CRENDIVA,CRENELLA,DIVARICATA,CRENELLA DIVARICATA,
79472,MUSCULUS, , ,MUSCULUS SPP.,
79473,MUSCNIGE,MUSCULUS,NIGER,MUSCULUS NIGER,
79487,MUSCLATE,MUSCULUS,LATERALIS,MUSCULUS LATERALIS,
79500,MODIOLUS,MODIOLUS,SPP.,MODIOLUS,
79506,MODIAMER,MODIOLUS,AMERICANUS,MODIOLUS AMERICANUS,
79519,BRACEXUS,BRACHIDONTES,EXUSTUS,BRACHIDONTES EXUSTUS,
79529,AMYGPAPY,AMYGDALUM,PAPYRIUM,AMYGDALUM PAPYRIUM,
79543,LIOBCAST,LIOBERUS,CASTANEUS,LIOBERUS CASTANEUS,
79555,GEUKDEMI,GEUKENSIA,DEMISSA,GEUKENSIA DEMISSA,
79561,ISCHRECU,ISCHADIUM,RECURVUM,ISCHADIUM RECURVUM,
79578,XXXXPIND,UNID., ,PINNIDAE,
79579,ATRIXXXX,ATRINA,SP.,ATRINA SP.,
79593,PINCIMBR, , ,PINCTADA IMBRICATA,
79611,PECTINID, , ,PECTINIDAE,
79737,AEQUIRRA,ARGOPECTEN,IRRADIANS,ARGOPECTEN IRRADIANS,
79776,PLICGIBB, , ,PLICATULA GIBBOSA,
79783,DIMYARGE,DIMYA,ARGENTEA,DIMYA ARGENTEA,
79790,ANOMIIDA, , ,ANOMIIDAE,
79796,ANOMIA,ANOMIA,SPP.,ANOMIA,
79798,ANOMSIMP,ANOMIA,SIMPLEX,ANOMIA SIMPLEX,
79799,ANOMSQUA,ANOMIA,SQUAMULA,ANOMIA SQUAMULA,
79815,LIMAPELL,LIMA,PELLUCIDA,LIMA PELLUCIDA,
79866,XXX1OSTR, , ,OSTREIDAE,
79872,CRASVIRG,CRASSOSTREA,VIRGINICA,CRASSOSTREA VIRGINICA,
79913,UNIONIDA, , ,UNIONIDAE,
79913,UNIOXXXA, ,SP.A,UNIONIDAE,
79930,ANODONTA, , ,ANODONTA SPP.,
79952,ELLICOMP, , ,ELLIPTIO COMPLANTA,
80385,LUCIXXXA, ,SP.A,LUCINIDAE,
80385,XXXXLUCI,UNID., ,LUCINIDAE,
80386,PARVXXXA,PARVILUCINA,SP.A,PARVILUCINA,
80388,PARVMULT,PARVILUCINA,MULTILINEATA,PARVILUCINA MULTILINEATA,
80399,LUCIFILO,LUCINOMA,FILOSA,LUCINOMA FILOSA,
80409,LUCIXXXX,LUCINA,SP.,LUCINA,
80411,LUCIPECT,LUCINA,PECTINATA,LUCINA PECTINATA,
80413,LUCIRADI,LUCINA,RADIANS,LUCINA RADIANS,
80443,LINGAMIA,LINGA,AMIANTUS,LINGA AMIANTUS,
80470,CODAORBS, , ,CODAKIA ORBICULARIS,
80475,CODAORBI,CODAKIA,ORBICULATA,CODAKIA ORBICULATA,
80494,THYASIRI, , ,THYASIRIDAE,
80574,DIPLSEMI,DIPLODONTA,SEMIASPERA,DIPLODONTA SEMIASPERA,
80578,DIPLPUNC,DIPLODONTA,PUNCTATA,DIPLODONTA PUNCTATA,
80605,CYREFLOR, , ,CYRENOIDA FLORIDANA,
80605,CYREFLOR,CYRENOIDA,FLORIDANA,CYRENOIDA FLORIDANA,
80651,MYSELLA,MYSELLA,SPP.,MYSELLA SPP.,
80651,MYSEXXXA,MYSELLA,SP.A,MYSELLA,
80651,MYSEXXXX,MYSELLA,SP.,MYSELLA,
80651,MYSEXXXB,MYSELLA,SP.B,MYSELLA,
80661,MYSEPLAN,MYSELLA,PLANULATA,MYSELLA PLANULATA,
80684,ALIGTEXA,ALIGENA,TEXASIANA,ALIGENA TEXASIANA,
80685,ALIGELEV,ALIGENA,ELEVATA,ALIGENA ELEVATA,
80700,GALEOMMA,UNIDENTIFIED, ,GALEOMMATACEA,
80700,GALEXXXA, ,SP.A,GALEOMMATACEA SP.A,
80744,CYCLBORE,CYCLOCARDIA,BOREALIS,CYCLOCARDIA BOREALIS,
80774,PLEUTRID,PLEUROMERIS,TRIDENTATA,PLEUROMERIS TRIDENTATA,
80781,CARDFLOR,CARDITAMERA,FLORIDANA,CARDITAMERA FLORIDANA,
80795,GONIDALL,GONIOCUNA,DALLI,GONIOCUNA DALLI,
80796,ASTARTID, , ,ASTARTIDAE,
80797,ASTASPEA,ASTARTE,SP. A MOUNTFORD,ASTARTE,
80797,ASTARTE,ASTARTE,SPP.,ASTARTE,
80801,ASTACAST, , ,ASTARTE CASTANEA,
80804,ASTACREN,ASTARTE,CRENATA,ASTARTE CRENATA,
80811,ASTAUNDA,ASTARTE,UNDATA,ASTARTE UNDATA,
80850,CRASXXXX,CRASSINELLA,SP.,CRASSINELLA,
80851,CRASLUNU,CRASSINELLA,LUNULATA,CRASSINELLA LUNULATA,
80853,CRASMART,CRASSINELLA,MARTINICENSIS,CRASSINELLA MARTINICENSIS,
80891,LAEVMORT,LAEVICARDIUM,MORTONI,LAEVICARDIUM MORTONI,
80900,CERAPINN,CERASTODERMA,PINNULATUM,CERASTODERMA PINNULATUM,
80907,TRACMURI,TRACHYCARDIUM,MURICATUM,TRACHYCARDIUM MURICATUM,
80909,TRACMAGN,TRACHYCARDIUM,MAGNUM,TRACHYCARDIUM MAGNUM,
80909,TRACMAGN, , ,TRACHYCARDIUM MAGNUM,
80912,DINOXXXX,DINOCARDIUM,SP.,DINOCARDIUM,
80915,PAPYSOLE,PAPYRIDEA,SOLENIFORMIS,PAPYRIDEA SOLENIFORMIS,
80942,MACTRFAM, , ,MACTRIDAE,
80942,XXXXMACT,UNID., ,MACTRIDAE,
80944,SPISSOLI,SPISULA,SOLIDISSIMA,SPISULA SOLIDISSIMA,
80958,MULIXXXA,MULINIA,SP.A,MULINIA,
80958,MULIXXXX,MULINIA,SP.,MULINIA,
80959,MULILATE,MULINIA,LATERALIS,MULINIA LATERALIS,
80962,RANGCUNE,RANGIA,CUNEATA,RANGIA CUNEATA,
80963,RANGFLEX,RANGIA,FLEXUOSA,RANGIA FLEXUOSA,
80968,MACTFRAG,MACTRA,FRAGILIS,MACTRA FRAGILIS,
80973,RAETACF, , ,CF. RAETA SPP.,
80974,RAETPLIC,RAETA,PLICATELLA,RAETA PLICATELLA,
80974,RAETPLIC, , ,RAETA PLICATELLA,
80995,ERVICONC,ERVILIA,CONCENTRICA,ERVILIA CONCENTRICA,
81006,SOLENIDA,UNID., ,SOLENIDAE,
81012,SILICOST,SILIQUA,COSTATA,SILIQUA COSTATA,
81022,ENSIDIRE,ENSIS,DIRECTUS,ENSIS DIRECTUS,
81023,ENSIMINO,ENSIS,MINOR,ENSIS MINOR,
81032,TELLINID,UNID., ,TELLINIDAE,
81032,XXXXTELL,UNID., ,TELLINIDAE,
81033,MACOXXXB,MACOMA,SP.B,MACOMA,
81033,MACOXXXX,MACOMA,SP.,MACOMA,
81052,MACOBALT,MACOMA,BALTHICA,MACOMA BALTHICA,
81054,MACOMITC,MACOMA,MITCHELLI,MACOMA MITCHELLI,
81055,MACOTENT,MACOMA,TENTA,MACOMA TENTA,
81056,MACOCONS,MACOMA,CONSTRICTA,MACOMA CONSTRICTA,
81057,MACOTAGE, , ,MACOMA TAGELIFORMIS,
81057,MACOTAGE,MACOMA,TAGELIFORMIS,MACOMA TAGELIFORMIS,
81074,TELLXXXA,TELLINA,SP.A,TELLINA,
81074,TELLXXXX,TELLINA,SP.,TELLINA,
81074,TELLXXXB,TELLINA,SP.B,TELLINA,
81074,TELLINA, , ,TELLINA SPP.,
81088,TELLAGIL,TELLINA,AGILIS,TELLINA AGILIS,
81091,TELLAEQU,TELLINA,AEQUISTRIATA,TELLINA AEQUISTRIATA,
81096,TELLIRIS,TELLINA,IRIS,TELLINA IRIS,
81097,TELLLINE,TELLINA,LINEATA,TELLINA LINEATA,
81097,TELLLINE, , ,TELLINA LINEATA,
81100,TELLVERS,TELLINA,VERSICOLOR,TELLINA VERSICOLOR,
81101,TELLALTE,TELLINA,ALTERNATA,TELLINA ALTERNATA,
81108,TELLTEXA, , ,TELLINA TEXANA,
81108,TELLTEXA,TELLINA,TEXANA,TELLINA TEXANA,
81113,TELLTAMP,TELLINA,TAMPAENSIS,TELLINA TAMPAENSIS,
81119,TELLSYBA, , ,TELLINA SYBARITICA,
81137,TELLMERA, , ,TELLINA MERA,
81142,TELLTENE,TELLINA,TENELLA,TELLINA TENELLA,
81202,TELLSIMI, , ,TELLINA SIMILIS,
81214,STRIXXXX,STRIGILLA,SP.,STRIGILLA,
81215,STRIMIRA,STRIGILLA,MIRABILIS,STRIGILLA MIRABILIS,
81224,TELLCRIS,TELLIDORA,CRISTATA,TELLIDORA CRISTATA,
81245,DONAXXXX,DONAX,SP.,DONAX,
81248,DONAVARI, , ,DONAX VARIABILIS,
81252,DONATEXA,DONAX,TEXASIANUS,DONAX TEXASIANUS,
81271,TAGELUS, , ,TAGELUS SPP.,
81271,TAGEXXXX,TAGELUS,SP.,TAGELUS,
81272,TAGEPLEB,TAGELUS,PLEBEIUS,TAGELUS PLEBEIUS,
81274,TAGEDIVI,TAGELUS,DIVISUS,TAGELUS DIVISUS,
81293,SEMEBELL,SEMELE,BELLASTRIATA,SEMELE BELLASTRIATA,
81294,SEMEPROF,SEMELE,PROFICUA,SEMELE PROFICUA,
81302,ABRAAEQU,ABRA,AEQUALIS,ABRA AEQUALIS,
81304,ABRALIOI,ABRA,LIOICA,ABRA LIOICA,
81325,SEMENUCU,SEMELE,NUCULOIDES,SEMELE NUCULOIDES,
81326,SOLECFAM, , ,SOLECURTIDAE,
81335,MYTILEUC,MYTILOPSIS,LEUCOPHAEATA,MYTILOPSIS LEUCOPHAEATA,
81339,DREIPOLY,DREISSENA,POLYMORPHA,DREISSENA POLYMORPHA,
81339,DREIPOLY, , ,DREISSENA POLYMORPHA,
81343,ARCTISLA, , ,ARCTICA ISLANDICA,
81383,POLYCARO,POLYMESODA,CAROLINIANA,POLYMESODA CAROLINIANA,
81387,CORBFLUM,CORBICULA,FLUMINEA,CORBICULA FLUMINEA,
81389,XXXZSPHA,UNID.,SPHAERIIDAE,UNID. SPHAERIIDAE,
81400,PISIDIUM,PISIDIUM,SPP.,PISIDIUM,
81427,MUSCULIU,MUSCULIUM,SPP.,MUSCULIUM,
81428,MUSCTRAN,MUSCULIUM,TRANSVERSUM,MUSCULIUM TRANSVERSUM,
81439,VENERID, , ,VENERIDAE,
81445,TRANSTIM,TRANSENNELLA,STIMPSONI,TRANSENNELLA STIMPSONI,
81488,DOSIXXXA,DOSINIA,SP.A,DOSINIA SP.A,
81489,DOSIDISC,DOSINIA,DISCUS,DOSINIA DISCUS,
81495,MERCXXXX,MERCENARIA,SP.,MERCENARIA,
81496,MERCMERC,MERCENARIA,MERCENARIA,MERCENARIA MERCENARIA,
81499,MERCCAMP,MERCENARIA,CAMPECHIENSIS,MERCENARIA CAMPECHIENSIS,
81501,PITAMORR,PITAR,MORRHUANUS,PITAR MORRHUANUS,
81503,PITASIMP,PITAR,SIMPSONI,PITAR SIMPSONI,
81504,PITAFULM,PITAR,FULMINATUS,PITAR FULMINATUS,
81511,GEMMGEMM,GEMMA,GEMMA,GEMMA GEMMA,
81515,AGRITEXA,AGRIOPOMA,TEXASIANA,AGRIOPOMA TEXASIANA,
81515,AGRITEXA, , ,AGRIOPOMA TEXASIANA,
81517,CHIONE,CHIONE,SPP.,CHIONE SPP.,
81522,CHIOGRUS,CHIONE,GRUS,CHIONE GRUS,
81523,CHIOCANC,CHIONE,CANCELLATA,CHIONE CANCELLATA,
81579,MACRNIMB,MACROCALLISTA,NIMBOSA,MACROCALLISTA NIMBOSA,
81603,ANOMAUBE,ANOMALOCARDIA,AUBERIANA,ANOMALOCARDIA AUBERIANA,
81617,PARATRIQ,PARASTARTE,TRIQUETRA,PARASTARTE TRIQUETRA,
81627,PETRPHOL,PETRICOLA,PHOLADIFORMIS,PETRICOLA PHOLADIFORMIS,
81651,CHAMMACE, , ,CHAMA MACEROPHYLLA,
81670,ARCICORN, , ,ARCINELLA CORNUTA,
81692,MYAAREN,MYA,ARENARIA,MYA ARENARIA,
81704,SPHETUMI,SPHENIA,TUMIDA,SPHENIA TUMIDA,
81704,SPHETUMI, , ,SPHENIA TUMIDA,
81711,CORBXXXX,CORBULA,SP.,CORBULA,
81712,CORBCONT,CORBULA,CONTRACTA,CORBULA CONTRACTA,
81714,CORBBARR,CORBULA,BARRATTIANA,CORBULA BARRATTIANA,
81765,HIATARCT,HIATELLA,ARCTICA,HIATELLA ARCTICA,
81778,PANOBITR,PANOPEA,BITRUNCATA,PANOPEA BITRUNCATA,
81784,PHOLADID, , ,PHOLADIDAE,
81798,BARNTRUN, , ,BARNEA TRUNCATA,
81803,DIPLSMIT,DIPLOTHYRA,SMITHII,DIPLOTHYRA SMITHII,
81805,MARTCUNI,MARTESIA,CUNIFORMIS,MARTESIA CUNIFORMIS,
81888,PANDORID,UNID., ,PANDORIDAE,
81889,PANDORA,PANDORA,SPP.,PANDORA,
81895,PANDTRIL,PANDORA,TRILINEATA,PANDORA TRILINEATA,
81896,PANDGOUL,PANDORA,GOULDIANA,PANDORA GOULDIANA,
81916,LYONSIA, , ,LYONSIA SPP.,
81917,LYONAREN, , ,LYONSIA ARENOSA,
81926,LYONHYAL,LYONSIA,HYALINA,LYONSIA HYALINA,
81947,PERIMARG,PERIPLOMA,MARGARITACEUM,PERIPLOMA MARGARITACEUM,
81958,THRACIID,UNID., ,THRACIIDAE,
81960,ASTHHEMP,ASTHENOTHAERUS,HEMPHILLI,ASTHENOTHAERUS HEMPHILLI,
81984,BUSHELEG,BUSHIA,ELEGANS,BUSHIA ELEGANS,
82118,DENTXXXC,DENTALIUM,SP.C,DENTALIUM SP.C,
82118,DENTXXXA,DENTALIUM,SP.A,DENTALIUM,
82124,DENTTEXA,DENTALIUM,TEXASIANUM,DENTALIUM TEXASIANUM,
82127,DENTPILS,DENTALIUM,PILSBRYI,DENTALIUM PILSBRYI,
82129,DENTANTI, , ,DENTALIUM ANTILLARUM,
82379,LOLLBREV, , ,LOLLIGUNCULA BREVIS,
82521,ILLEILLE, , ,ILLEX ILLECEBROSUS,
82696,XXXXOSTR,UNID., ,OSTRACODA,
82696,OSTRACOD,UNIDENTIFIED, ,OSTRACODA,
82703,LIMUPOLY,LIMULUS,POLYPHEMUS,LIMULUS POLYPHEMUS,
82732,XXXXARAN,UNID., ,ARANEAE,
82754,XXXXACAR, , ,ACARINA,
82754,XXXXACAR,UNID.,ACARINA,ACARINA,
83545,PYCNOGON, , ,PYCNOGONIDA,
83545,XXXXPYCN, , ,PYCNOGONIDA,
83618,TANYORBI, , ,TANYSTYLUM ORBICULARE,
83646,ANOPPETI,ANOPLODACTYLUS,PETIOLATUS,ANOPLODACTYLUS PETIOLATUS,
83650,ANOPPECT, , ,ANOPLODACTYLUS PECTINUS,
83670,CALLBREV,CALLIPALLENE,BREVIROSTRIS,CALLIPALLENE BREVIROSTRIS,
83682,HUTCMACR,HUTCHINSONIELLA,MACRACANTHA,HUTCHINSONIELLA MACRACANTHA,
83684,LIGHXXXX,LIGHTIELLA,SP.,LIGHTIELLA SP.,
83686,LIGHFLOR,LIGHTIELLA,FLORIDANA,LIGHTIELLA FLORIDANA,
83832,XXXXCLAD,UNID., ,CLADOCERA,
83832,CLADOCER, , ,CLADOCERA,
84215,XXXXCYLI,UNID., ,CYLINDROLEBERIDIDAE,
84218,ASTEXXXA,ASTEROPELLA,SP.A,ASTEROPELLA,
84219,ASTEMACL,ASTEROPELLA,MACLAUGHLINAE,ASTEROPELLA MACLAUGHLINAE,
84222,ASTEOCUL,ASTEROPTERYGION,OCULITRISTIS,ASTEROPTERYGION OCULITRISTIS,
84232,PARAXXXS,PARASTEROPE,SP.,PARASTEROPE SP.,
84233,PARAPOLL,PARASTEROPE,POLLEX,PARASTEROPE POLLEX,
84237,PARAMUEL,PARASTEROPE,MUELLERI,PARASTEROPE MUELLERI,
84240,SYNAXXXX,SYNASTEROPE?,SP.,SYNASTEROPE? SP.,
84300,EUSAXXXA,EUSARSIELLA,SP.A,EUSARSIELLA,
84300,EUSAXXXB,EUSARSIELLA,SP.B,EUSARSIELLA,
84300,EUSAXXXX,EUSARSIELLA,SP.,EUSARSIELLA,
84302,EUSACHIL,EUSARSIELLA,CHILDI,EUSARSIELLA CHILDI,
84305,EUSADISS,EUSARSIELLA,DISPARALIS,EUSARSIELLA DISPARALIS,
84311,EUSADISP,EUSARSIELLA,DISPAR,EUSARSIELLA DISPAR,
84312,EUSAGETT,EUSARSIELLA,GETTLESONI,EUSARSIELLA GETTLESONI,
84348,RUTIDARB,RUTIDERMA,DARBYI,RUTIDERMA DARBYI,
84363,HARBPAUC,HARBANSUS,PAUCICHELATUS,HARBANSUS PAUCICHELATUS,
84390,PSEUXXXZ,PSEUDOPHILOMEDES,SP.A,PSEUDOPHILOMEDES SP.A,
84662,CYTHXXXA,CYTHERIDAE,SP.A,CYTHERIDAE SP.A,
84709,CYPRXXXX,CYPRIDEIS,SP.,CYPRIDEIS SP.,
84709,CYPRXXXA,CYPRIDEIS?,SP.A,CYPRIDEIS? SP.A,
85132,CANDXXXX,CANDONA,SP.,CANDONA SP.,
85258,CALANOID, , ,CALANOIDA,
86110,HARPACTI, , ,HARPACTICOIDA,
89007,CALIGOID, , ,CALIGOIDA,
89406,ARGUXSP1, , ,ARGULIDAE,
89407,ARGUXXXX,ARGULUS,SP.,ARGULUS,
89433,XXXBCIRR,UNID., ,CIRRIPEDIA,
89600,BALAXXXX,BALANUS,SP.,BALANUS,
89600,BALANUS,BALANUS,SPP.,BALANUS SPP.,
89601,BALABALA,BALANUS,BALANOIDES,BALANUS BALANOIDES,
89606,BALACREN,BALANUS,CRENATUS,BALANUS CRENATUS,
89621,BALAEBUR,BALANUS,EBURNEUS,BALANUS EBURNEUS,
89622,BALAIMPR,BALANUS,IMPROVISUS,BALANUS IMPROVISUS,
89630,BALAVENU,BALANUS,VENUSTUS,BALANUS VENUSTUS,
89791,NEBAXXXA,NEBALIA,SP.A,NEBALIA SP.A,
89856,MYSIDAE, , ,MYSIDAE,
89856,XXXXMYSI, , ,MYSIDAE,
89977,HETEFORM,HETEROMYSIS,FORMOSA,HETEROMYSIS FORMOSA,
90062,NEOMAMER,NEOMYSIS,AMERICANA,NEOMYSIS AMERICANA,
90138,MYSIXXXX,MYSIDOPSIS,SP.,MYSIDOPSIS,
90138,MYSIDOPS, , ,MYSIDOPSIS SPP.,
90138,MYSIXXXA,MYSIDOPSIS,SP.A,MYSIDOPSIS,
90138,MYSIXXXB,MYSIDOPSIS,SP.B,MYSIDOPSIS,
90139,MYSIBIGE,MYSIDOPSIS,BIGELOWI,MYSIDOPSIS BIGELOWI,
90140,MYSIBAHI,MYSIDOPSIS,BAHIA,MYSIDOPSIS BAHIA,
90141,MYSIALMY,MYSIDOPSIS,ALMYRA,MYSIDOPSIS ALMYRA,
90143,MYSIFURC,MYSIDOPSIS,FURCA,MYSIDOPSIS FURCA,
90259,BOWMXXXX,BOWMANIELLA,SP.,BOWMANIELLA SP.,
90262,BOWMFLOR,BOWMANIELLA,FLORIDANA,BOWMANIELLA FLORIDANA,
90276,TAPHLOUI,TAPHROMYSIS,LOUISIANAE,TAPHROMYSIS LOUISIANAE,
90277,TAPHBOWM,TAPHROMYSIS,BOWMANI,TAPHROMYSIS BOWMANI,
90745,CUMACEA, , ,CUMACEA,
90745,XXXXCUMA, , ,CUMACEA,
90790,LEUCAMER,LEUCON,AMERICANUS,LEUCON AMERICANUS,
90799,EUDORELL,EUDORELLA,SPP.,EUDORELLA,
90810,EUDOPUSI,EUDORELLA,PUSILLA,EUDORELLA PUSILLA,
90812,EUDOMONO,EUDORELLA,MONODON,EUDORELLA MONODON,
90836,DIASTYLI, , ,DIASTYLIS SPP.,
90863,DIASQUAD,DIASTYLIS,QUADRISPINOSA,DIASTYLIS QUADRISPINOSA,
90865,DIASSCUL,DIASTYLIS,SCULPTA,DIASTYLIS SCULPTA,
90922,OXYUXXXX,OXYUROSTYLIS,SP.,OXYUROSTYLIS,
90922,OXYUXXXB,OXYUROSTYLIS,SP.B,OXYUROSTYLIS,
90922,OXYUXXXA,OXYUROSTYLIS,SP.A,OXYUROSTYLIS,
90923,OXYUSMIT,OXYUROSTYLIS,SMITHI,OXYUROSTYLIS SMITHI,
90964,CUMEXXXA,CUMELLA,SP.A,CUMELLA,
90964,CUMEXXXX,CUMELLA,SP.,CUMELLA,
90964,CUMEXXXB,CUMELLA,SP.B,CUMELLA,
90964,CYCLXXXC,CYCLASPIS,SP.C,CYCLASPIS SP.C,
90964,CUMEXXXC,CUMELLA,SP.C,CUMELLA SP.C,
90967,CUMEGARR, , ,CUMELLA GARRITYI,
90979,ALMYPROX,ALMYRACUMA,PROXIMOCULI,ALMYRACUMA PROXIMOCULI,
91027,BODOTRII,BODOTRIIDAE,SP. A WATLING,BODOTRIIDAE,
91027,BODOTRUN, , ,BODOTRIIDAE,
91030,MANCSTEL,MANCOCUMA,STELLIFERA,MANCOCUMA STELLIFERA,
