Dataset:              Benthic Species List
File Name:            ben_tax.txt
Date Created:         5/26/1999
# Variables:          5
# Header Records:     15
# Data Records:       2110
Missing Value Symbol: .

Variables:    TSN          Integrated Taxonomic Information System (ITIS) serial number
              SPECCODE     EMAP Species Code
              GENUS        Genus
              SPECIES      Species
              LATNAME      Latin Name

TSN,SPECCODE,GENUS,SPECIES,LATNAME,
65753,SPHALONG,SPHAEROSYLLIS,LONGICAUDA,SPHAEROSYLLIS LONGICAUDA,
65754,SPHAPIRI, , ,SPHAEROSYLLIS PIRIFEROPSIS,
65759,BRANXXXZ,BRANIA,SP.,BRANIA SP.,
65759,BRANCLSW,BRANIA,CLAVATA & SWEDMARKI,BRANIA CLAVATA-SWEDMARKI COMPLEX,
65759,BRANIA,BRANIA,SPP.,BRANIA,
65761,BRANCLAV,BRANIA,CLAVATA,BRANIA CLAVATA,
65762,BRANWELL,BRANIA,WELLFLEETENSIS,BRANIA WELLFLEETENSIS,
65782,HAPLSPON, , ,HAPLOSYLLIS SPONGICOLA,
65789,ODONFULG,ODONTOSYLLIS,FULGURANS,ODONTOSYLLIS FULGURANS,
65792,ODONENOP,ODONTOSYLLIS,ENOPLA,ODONTOSYLLIS ENOPLA,
65803,SYLLIDES,SYLLIDES,SPP.,SYLLIDES,
65807,SYLLCONV,SYLLIDES,CONVOLUTA,SYLLIDES CONVOLUTA,
65813,SYLLVERR,SYLLIDES,VERRILLI,SYLLIDES VERRILLI,
65814,SYLLBANS, , ,SYLLIDES BANSEI,
65817,STREPTOS,STREPTOSYLLIS,SPP.,STREPTOSYLLIS,
65818,STREAREN,STREPTOSYLLIS,ARENAE,STREPTOSYLLIS ARENAE,
65819,STREVARI,STREPTOSYLLIS,VARIANS,STREPTOSYLLIS VARIANS,
65822,STREPETT,STREPTOSYLLIS,PETTIBONEAE,STREPTOSYLLIS PETTIBONEAE,
65823,PARAXXXA,PARAPIONOSYLLIS,SP.A,PARAPIONOSYLLIS,
65823,PARAXXXY,PARAPIONOSYLLIS,SP.,PARAPIONOSYLLIS SP.,
65824,PARPLONG,PARAPIONOSYLLIS,LONGICIRRATA,PARAPIONOSYLLIS LONGICIRRATA,
65846,PLAKQUAD, , ,PLAKOSYLLIS QUADRIOCULATA,
65848,BRANOCUL, , ,BRANCHIOSYLLIS OCULATA,
65849,BRANEXIL,BRANCHIOSYLLIS,EXILIS,BRANCHIOSYLLIS EXILIS,
65859,DENTCARO,DENTATISYLLIS,CAROLINAE,DENTATISYLLIS CAROLINAE,
65870,XXXXNERE,UNID., ,NEREIDAE,
65870,NEREIDAE,UNIDENTIFIED, ,NEREIDIDAE,
65874,CERAIRRI,CERATONEREIS,IRRITABILIS,CERATONEREIS IRRITABILIS,
65876,CERAMIRA,CERATONEREIS,MIRABILIS,CERATONEREIS MIRABILIS,
65879,CERALONG, , ,CERATONEREIS LONGICIRRATA,
65888,NEANXXXX,NEANTHES,SP.,NEANTHES,
65891,NEANVIRE,NEANTHES,VIRENS,NEANTHES VIRENS,
65895,NEANAREN,NEANTHES,ARENACEODENTATA,NEANTHES ARENACEODENTATA,
65899,NEANACUM,NEANTHES,ACUMINATA,NEANTHES ACUMINATA,
65902,NEREXXXX,NEREIS,SP.,NEREIS SP.,
