Dataset:              Demersal Lengths - Summary by Station and Taxon
File Name:            CP_DEM_L.txt
Date Created:         02Dec1998
# Variables:          7
# Header Records:     17
# Data Records:       1682
Missing Value Symbol: .

Variables:    STA_NAME     Carolinian Province Office Station Name
              DATE         Sample collection date (YYMMDD)
              COD_EMAP     Carolinian Province Office Taxa Code
              N_LEN        Number of lengths
              M_LEN        Mean length (mm)
              SD_LEN       Standard deviation of lengths
              MEASTYPE     Length measurement type code

STA_NAME;DATE;COD_EMAP;N_LEN;M_LEN;SD_LEN;MEASTYPE
CP94024;940818;PENASETI;80;126.7;12.1;S
CP94024;940818;PRIOTRIB;1;69.0;.;T
CP94024;940818;SELEVOME;1;48.0;.;F
CP94024;940818;SQUIEMPU;1;91.0;.;S
CP94024;940818;SYMPPLAG;19;125.7;11.3;T
CP94024;940818;TRINMACU;21;119.7;15.9;T
CP94025;940818;ARIUFELI;5;87.8;38.8;F
CP94025;940818;BAGRMARI;1;65.0;.;F
CP94025;940818;CALLSIMI;3;39.0;14.7;C
CP94025;940818;CYNOREGA;1;85.0;.;T
CP94025;940818;EUCIARGE;1;84.0;.;F
CP94025;940818;LIBIDUBI;1;30.0;.;C
CP94025;940818;MENTAMER;5;93.4;8.9;T
CP94025;940818;MICRUNDU;32;122.9;12.6;T
CP94025;940818;OGCOXXSP;1;122.0;.;T
CP94025;940818;PENAAZTE;1;110.0;.;S
CP94025;940818;PENADUOR;6;136.5;4.8;S
CP94025;940818;PENASETI;15;128.9;11.9;S
CP94025;940818;SQUIEMPU;2;66.5;4.9;T
CP94025;940818;STELLANC;80;54.5;10.9;T
CP94025;940818;SYMPPLAG;8;129.4;13.7;T
CP94025;940818;TRINMACU;4;111.8;26.0;T
CP94026;940819;ARIUFELI;2;153.0;1.4;F
CP94026;940819;BAGRMARI;1;128.0;.;F
CP94026;940819;CALLORNA;2;52.5;2.1;C
CP94026;940819;CALLSAPI;1;62.0;.;C
