Dataset:              Water Quality Bottom Data
File Name:            CP_WQ_B.DAT
Date Created:         01Jan1998
# Variables:          10
# Header Records:     20
# Data Records:       313
Missing Value Symbol: .

Variables:    STA_NAME     Carolinian Province Office Station Name
              DATE         Sample collection date (YYMMDD)
              TIME         Sample collection time (HH:MM)
              DO           Dissolved Oxygen conc. (mg/L) at bottom
              TEMP         Temperature (C) at bottom
              SAL          Salinity (ppt) at bottom
              PH           pH (units) at bottom
              SPCOND       Specific Conductance (mS/cm @25C) surf.
              DENS         Density (Sigma t) at bottom
              DEPTH        Depth (m) of near-bottom observation

STA_NAME;DATE;TIME;DO;TEMP;SAL;PH;SPCOND;DENS;DEPTH
CP96227;960916;16:13;3.6;25.5;22.8;7.6;36.9;14.01;6.1
CP96228;960723;11:28;7.6;28.3;13.8;7.7;23.0;6.44;0.9
CP96229;960916;15:00;6.8;25.2;20.6;8.0;32.8;12.44;4.6
CP96230;960915;18:40;5.6;25.6;19.0;7.8;30.7;11.12;6.2
CP96231;960916;12:50;6.0;25.5;29.2;8.0;45.0;18.79;0.6
CP96232;960725;8:43;1.5;28.1;15.7;7.2;25.8;7.91;3.5
CP96233;960724;12:35;0.5;26.9;18.9;7.1;30.5;10.66;6.7
CP96234;960916;9:33;7.3;24.3;19.4;8.1;30.8;11.76;1.4
CP96235;960724;14:38;0.7;27.0;17.2;7.0;28.0;9.36;5.7
CP96236;960724;11:33;6.0;28.2;12.7;8.1;21.2;5.65;1.4
CP96237;960912;17:09;5.1;26.5;27.0;7.8;42.0;16.86;2.6
CP96238;960725;13:33;7.0;30.0;30.9;7.8;47.6;18.66;1.0
CP96239;960913;9:05;6.3;26.0;31.7;8.0;48.4;20.55;3.6
CP96240;960725;17:06;6.7;28.5;31.0;7.8;47.6;19.23;1.2
CP96241;960729;17:40;5.7;27.7;26.3;7.8;41.0;15.92;1.2
CP96242;960729;9:50;4.9;26.6;22.7;7.8;36.0;13.60;0.1
CP97022;970814;8:37;5.7;28.7;28.2;7.7;43.7;17.07;3.8
CP97036;970717;9:35;2.5;26.9;18.7;7.3;30.2;10.51;5.2
CP97052;970715;10:14;6.8;27.3;7.6;7.6;13.3;2.12;4.4
CP97071;970823;10:49;8.7;24.5;2.6;8.4;4.8;-0.83;1.0
CP97075;970730;8:19;5.7;30.1;31.7;7.7;48.5;19.22;9.9
CP97082;970724;11:22;5.8;29.2;6.8;7.0;11.8;0.97;4.6
CP97109;970708;14:25;4.1;28.3;0.9;6.8;1.8;-3.13;2.6
CP97114;970716;9:45;5.7;28.2;6.8;6.6;11.9;1.27;2.0
CP97120;970715;14:50;8.8;28.8;5.8;6.1;10.2;0.35;1.4
CP97141;970723;13:52;5.9;28.9;35.2;7.9;53.2;22.26;2.0
CP97149;970724;9:33;6.0;28.9;6.0;7.0;10.6;0.47;4.7
CP97156;970723;10:00;3.8;29.4;18.3;7.0;29.5;9.45;8.2
CP97164;970729;11:07;6.2;30.4;24.2;7.4;38.0;13.52;6.7
CP97172;970813;11:50;6.2;29.0;1.0;7.9;1.8;-3.26;3.1
CP97183;.;.;.;.;.;.;.;.;.
CP97184;.;.;.;.;.;.;.;.;.
CP97301;970823;13:48;8.5;26.0;1.6;8.4;3.0;-1.95;1.2
CP97302;970823;10:59;8.9;24.8;1.8;8.5;3.3;-1.49;1.0
CP97303;970822;13:50;5.3;26.7;2.5;8.0;4.5;-1.51;3.7
CP97304;970823;9:21;8.4;25.3;3.1;8.5;5.6;-0.66;1.2
CP97305;970822;14:25;8.6;26.9;3.5;8.5;6.4;-0.80;2.3
CP97306;970820;15:30;8.9;27.7;2.5;8.7;4.5;-1.77;1.0
CP97307;970822;17:25;6.1;26.9;4.6;7.9;8.2;-0.03;5.3
CP97308;970820;15:26;7.9;27.6;2.6;7.9;4.7;-1.71;5.0
CP97309;970822;9:12;6.3;27.3;0.0;7.8;0.1;-3.49;1.7
CP97310;970708;17:40;6.6;27.8;2.4;7.3;4.5;-1.87;3.6
CP97311;970821;16:18;5.3;28.4;0.1;7.1;0.2;-3.75;4.6
CP97312;970709;13:05;6.3;27.3;14.5;7.7;24.1;7.27;4.4
CP97313;970709;15:37;8.0;27.9;15.5;7.9;25.8;7.84;3.4
CP97314;970709;11:18;7.0;28.9;14.7;7.7;24.3;6.92;1.2
CP97315;970716;14:28;8.4;30.6;1.4;7.5;2.6;-3.43;1.4
CP97316;970819;16:31;6.9;27.9;20.3;8.0;32.4;11.37;5.1
CP97317;970711;16:30;7.9;27.7;8.9;7.9;15.3;2.97;2.1
CP97318;970819;11:25;6.8;28.0;19.1;7.9;30.8;10.48;6.0
CP97319;970710;11:35;5.8;27.8;16.8;7.7;27.4;8.82;4.4
CP97320;970715;12:35;5.0;27.4;7.3;7.5;12.7;1.87;4.6
CP97321;970711;14:32;7.6;27.3;10.7;7.8;18.2;4.43;2.7
CP97322;970711;10:40;6.1;27.7;8.6;7.5;14.8;2.75;4.6
CP97323;970710;15:50;7.9;29.6;13.4;8.0;22.4;5.74;0.7
CP97324;970819;15:00;7.0;27.9;21.9;8.0;34.8;12.56;4.0
CP97325;970710;13:35;6.6;28.3;12.5;7.9;20.9;5.49;2.0
CP97326;970818;17:05;7.4;29.0;19.8;8.0;31.8;10.69;3.4
CP97327;970711;12:15;7.1;26.7;9.3;7.6;15.9;3.56;1.5
CP97328;970819;13:15;6.9;28.0;21.1;7.9;33.7;11.97;5.2
CP97329;970723;11:10;6.6;29.5;13.9;7.8;23.0;6.14;0.8
CP97330;970819;10:07;6.2;28.1;21.7;7.9;34.7;12.41;5.4
CP97331;970818;15:37;5.1;27.6;31.9;7.9;47.8;20.21;4.3
CP97332;970819;16:10;8.2;26.8;34.7;8.1;52.5;22.56;3.6
CP97333;970718;11:30;5.2;28.9;1.1;7.3;2.1;-3.15;2.0
CP97334;970717;11:36;3.2;27.0;19.0;7.5;30.6;10.71;6.5
CP97335;970818;15:05;7.2;26.9;34.8;8.0;52.7;22.61;0.9
CP97336;970717;15:12;2.6;27.2;14.0;7.2;23.3;6.92;5.6
CP97337;970723;16:29;5.2;29.0;35.0;7.9;53.0;22.07;2.5
CP97338;970717;13:50;5.3;28.1;12.5;7.5;21.0;5.53;2.9
CP97339;970724;11:05;6.1;28.2;35.4;7.9;53.6;22.64;1.2
CP97340;970722;16:00;7.2;29.5;35.3;8.0;53.4;22.13;3.2
CP97341;970722;12:40;6.8;28.1;35.5;7.9;53.6;22.75;6.0
CP97342;970703;8:45;5.0;27.7;34.4;7.7;52.1;22.05;1.3
CP97343;970703;13:15;6.1;28.5;30.0;7.5;46.5;18.48;2.3
CP97344;.;.;.;.;.;.;.;.;.
CP97345;970821;9:09;4.0;27.6;0.0;6.4;0.1;-3.59;9.3
CP97346;970821;9:20;3.5;27.2;0.0;7.4;0.1;-3.47;6.8
CP97347;970821;11:26;4.1;27.1;0.0;6.6;0.1;-3.45;6.4
CP97348;970821;11:40;4.8;27.8;0.0;7.5;0.1;-3.65;2.0
CP97349;970821;13:40;5.8;27.7;0.0;6.5;0.1;-3.62;3.7
CP97350;970821;13:50;6.9;27.5;0.1;7.9;0.1;-3.48;7.0
CP97351;970821;15:59;6.6;27.4;0.1;7.9;0.2;-3.46;4.5
CP97352;970821;16:32;6.7;27.0;0.1;8.0;0.1;-3.35;6.1
CP97353;970821;7:00;7.4;27.2;0.1;7.5;0.2;-3.39;5.4
CP97354;970821;18:02;7.3;27.2;0.5;7.7;1.0;-3.11;4.0
