Dataset:              Infauna Species List
File Name:            CP_BEN_S.txt
Date Created:         01OCT1999
# Variables:          6
# Header Records:     16
# Data Records:       884
Missing Value Symbol: .

Variables:    COD_EMAP     Carolinian Province Office Taxa Code
              PHYLUM       Phylum
              GROUP        General Taxonomic Group (Class, Order)
              FAMILY       Family
              GENUS        Genus
              SPECIES      Species

COD_EMAP;PHYLUM;GROUP;FAMILY;GENUS;SPECIES
CIRRXSP2;ANNELIDA;POLYCHAETA;PARAONIDAE;CIRROPHORUS;NEW SP2
CIRRXSP3;ANNELIDA;POLYCHAETA;CIRRATULIDAE;CIRRIFORMIA;SP3
CIRRXSPP;ANNELIDA;POLYCHAETA;CIRRATULIDAE;CIRRIFORMIA;SPP
CLADMANC;ARTHROPODA;DIPTERA;CHIRONOMIDAE;CLADOTANYTARSUS;MANCUS
CLADVIRI;ARTHROPODA;DIPTERA;CHIRONOMIDAE;CLADOTANYTARSUS;VIRIDIVENTRIS
CLADXSPP;ARTHROPODA;DIPTERA;CHIRONOMIDAE;CLADOTANYTARSUS;SPP
CLADXXSP;ARTHROPODA;DIPTERA;CHIRONOMIDAE;CLADOTANYTARSUS;SP.
CLINPING;ARTHROPODA;DIPTERA;CHIRONOMIDAE;CLINOTANYPUS;PINGUIS
CLINXXSP;ARTHROPODA;DIPTERA;CHIRONOMIDAE;CLINOTANYPUS;SP.
CLYMTORQ;ANNELIDA;POLYCHAETA;MALDANIDAE;CLYMENELLA;TORQUATA
CLYMXXSP;ANNELIDA;POLYCHAETA;MALDANIDAE;EUCLYMENE;SP.
COELXSPP;ARTHROPODA;DIPTERA;CHIRONOMIDAE;COELOTANYPUS;SPP
COLECONC;ARTHROPODA;DIPTERA;CHIRONOMIDAE;COELOTANYPUS;CONCINNUS
CONOTENU;ECTOPROCTA;CHEILOSTOMATA;MEMBRANIPORIDAE;CONOPEUM;TENUISSIMUM
COOPATLA;MOLLUSCA;BIVALVIA;PETRICOLIDAE;COOPERELLA;ATLANTICA
CORBBARR;MOLLUSCA;BIVALVIA;CORBULIDAE;CORBULA;BARRATTIANA
CORBCONT;MOLLUSCA;BIVALVIA;CORBULIDAE;CORBULA;CONTRACTA
CORBFLUM;MOLLUSCA;BIVALVIA;CORBICULIDAE;CORBICULA;FLUMINEA
CORBSWIF;MOLLUSCA;BIVALVIA;CORBULIDAE;CORBULA;SWIFTIANA
CORBXSPP;MOLLUSCA;BIVALVIA;CORBULIDAE;CORBULA;SPP
COROACHE;ARTHROPODA;AMPHIPODA;COROPHIIDAE;COROPHIUM;ACHERUSICUM
COROBACO;ARTHROPODA;AMPHIPODA;COROPHIIDAE;COROPHIUM;BACONI
COROLACU;ARTHROPODA;AMPHIPODA;COROPHIIDAE;COROPHIUM;LACUSTRE
COROSIMI;ARTHROPODA;AMPHIPODA;COROPHIIDAE;COROPHIUM;SIMILE
COROTUBE;ARTHROPODA;AMPHIPODA;COROPHIIDAE;COROPHIUM;TUBERCULATUM
COROXSPP;ARTHROPODA;AMPHIPODA;COROPHIIDAE;COROPHIUM;SPP
COSSLONG;ANNELIDA;POLYCHAETA;CIRRATULIDAE;COSSURA;LONGOCIRRATA
COSSXXSP;ANNELIDA;POLYCHAETA;COSSURIDAE;COSSURA;SP
COSTAVAR;MOLLUSCA;GASTROPODA;COLUMBELLIDAE;COSTOANACHIS;AVARA
COSTFLOR;MOLLUSCA;GASTROPODA;COLUMBELLIDAE;COSTOANACHIS;FLORIDANA
COSTSPAR;MOLLUSCA;GASTROPODA;COLUMBELLIDAE;COSTOANACHIS;SPARSA
COSTXXSP;MOLLUSCA;GASTROPODA;COLUMBELLIDAE;COSTOANACHIS;SP
CRASDUPL;MOLLUSCA;BIVALVIA;CRASSATELLIDAE;CRASSINELLA;DUPLINIANA
CRASLUNA;MOLLUSCA;BIVALVIA;CRASSATELLIDAE;CRASSINELLA;LUNATA
CRASLUNU;MOLLUSCA;BIVALVIA;CRASSATELLIDAE;CRASSINELLA;LUNULATA
CRASMART;MOLLUSCA;BIVALVIA;CRASSATELLIDAE;CRASSINELLA;MARTINENSIS
CRASVIRG;MOLLUSCA;BIVALVIA;OSTREIDAE;CRASSOSTREA;VIRGINICA
CREPCONV;MOLLUSCA;GASTROPODA;CALYPTRAEIDAE;CREPIDULA;CONVEXA
CREPMACU;MOLLUSCA;GASTROPODA;CALYPTRAEIDAE;CREPIDULA;MACULOSA
CREPPLAN;MOLLUSCA;GASTROPODA;CALYPTRAEIDAE;CREPIDULA;PLANA
CREPXSPP;MOLLUSCA;GASTROPODA;CALYPTRAEIDAE;CREPIDULA;SPP
CRYP1SPP;ARTHROPODA;DIPTERA;CHIRONOMIDAE;CRYPTOTENDIPES;SPP
CRYPFULV;ARTHROPODA;DIPTERA;CHIRONOMIDAE;CRYPTOCHIRONOMUS;FULVENS
CRYPXSPP;ARTHROPODA;DIPTERA;CHIRONOMIDAE;CRYPTOCHIRONOMUS;SPP
CRYPXXSP;ARTHROPODA;DIPTERA;CHIRONOMIDAE;CRYPTOCHIRONOMUS;SP.
CTENXSP2;ECTOPROCTA;CTENOSTOMATA;UNID.;UNID.;SP2
CUMEXXSP;ARTHROPODA;CUMACEA;NANNASTACIDAE;CUMELLA;SP
CUMIANTI;MOLLUSCA;BIVALVIA;SEMELIDAE;CUMINGIA;ANTILLARUM
CYATBURB;ARTHROPODA;ISOPODA;ANTHURIDAE;CYATHURA;BURBANCKI
CYATPOLI;ARTHROPODA;ISOPODA;ANTHURIDAE;CYATHURA;POLITA
CYATXSPP;ARTHROPODA;ISOPODA;ANTHURIDAE;CYATHURA;SPP
CYCLPENT;MOLLUSCA;GASTROPODA;VITRINELLIDAE;CYCLOSTREMISCUS;PENTAGONUS
CYCLTENU;MOLLUSCA;BIVALVIA;VENERIDAE;CYCLINELLA;TENUIS
CYCLVARI;ARTHROPODA;CUMACEA;BODOTRIIDAE;CYCLASPIS;VARIANS
CYLIBIDE;MOLLUSCA;GASTROPODA;SCHAPHANDRIDAE;CYLICHNELLA;BIDENTATA
CYMACOMP;ARTHROPODA;AMPHIPODA;AMPITHOIDAE;CYMADUSA;COMPTA
CYRNFRAT;ARTHROPODA;TRICHOPTERA;POLYCENTROPODIDAE;CYRNELLUS;FRATERNUS
CYRTCOST;MOLLUSCA;BIVALVIA;PHOLADIDAE;CYRTOPLEURA;COSTATA
DASYXSPP;ANNELIDA;POLYCHAETA;CAPITELLIDAE;DASYBRANCHUS;SPP
DEMOMICR;ANNELIDA;POLYCHAETA;SABELLIDAE;DEMONAX;MICROPHTHALMUS
DEMOXXSP;ANNELIDA;POLYCHAETA;SABELLIDAE;DEMONAX;SP
DENTAMER;MOLLUSCA;SCAPHOPODA;DENTALIIDAE;DENTALIUM;AMERICANUM
DERODIGI;ANNELIDA;OLIGOCHAETA;NAIDIDAE;DERO;DIGITATA
DICRSIMP;ARTHROPODA;DIPTERA;CHIRONOMIDAE;DICROTENDIPES;SIMPSONI
DIODXXSP;MOLLUSCA;GASTROPODA;FISSURELLIDAE;DIODORA;SP
DIOPCUPR;ANNELIDA;POLYCHAETA;ONUPHIDAE;DIOPATRA;CUPREA
DIPOBARB;ANNELIDA;POLYCHAETA;SPIONIDAE;DIPOLYDORA;BARBILLA
DIPOCAUL;ANNELIDA;POLYCHAETA;SPIONIDAE;DIPOLYDORA;CAULLERYI
DIPOSOCI;ANNELIDA;POLYCHAETA;SPIONIDAE;DIPOLYDORA;SOCIALIS
DISCUMBE;ECTOPROCTA;CHEILOSTOMATA;CUPULADRIIDAE;DISCOPORELLA;UMBELLATA
