Dataset:              Infauna Species List
File Name:            CP_BEN_S.txt
Date Created:         01OCT1999
# Variables:          6
# Header Records:     16
# Data Records:       884
Missing Value Symbol: .

Variables:    COD_EMAP     Carolinian Province Office Taxa Code
              PHYLUM       Phylum
              GROUP        General Taxonomic Group (Class, Order)
              FAMILY       Family
              GENUS        Genus
              SPECIES      Species

COD_EMAP;PHYLUM;GROUP;FAMILY;GENUS;SPECIES
XXX5AMPH;ARTHROPODA;AMPHIPODA;AMPHILOCHIDAE;UNID.;UNID.
XXXXACTI;CNIDARIA;ACTINIARIA;UNID.;UNID.;UNID.
XXXXAEGI;ARTHROPODA;AMPHIPODA;AEGINELLIDAE;UNID.;UNID.
XXXXALPH;ARTHROPODA;DECAPODA;ALPHEIDAE;UNID.;UNID.
XXXXAMPE;ARTHROPODA;AMPHIPODA;AMPELISCIDAE;UNID.;UNID.
XXXXANAS;MOLLUSCA;GASTROPODA/ANASPIDEA;UNID.;UNID.;UNID.
XXXXANTH;CNIDARIA;ANTHOZOA;UNID.;UNID.;UNID.
XXXXAORI;ARTHROPODA;AMPHIPODA;AORIDAE;UNID.;UNID.
XXXXARAB;ANNELIDA;POLYCHAETA;ARABELLIDAE;UNID.;UNID.
XXXXARAN;ARTHROPODA;ARACHNIDA/ARANEAE;UNID.;UNID.;UNID.
XXXXASCI;CHORDATA;ASCIDIACEA;UNID.;UNID.;UNID.
XXXXBIVA;MOLLUSCA;BIVALVIA;UNID.;UNID.;UNID.
XXXXBRAC;ARTHROPODA;DECAPODA/BRACHYURA;UNID.;UNID.;UNID.
XXXXCAEC;MOLLUSCA;GASTROPODA;CAECIDAE;UNID.;UNID.
XXXXCALA;ARTHROPODA;COPEPODA/CALANOIDA;UNID.;UNID.;UNID.
XXXXCALL;ARTHROPODA;DECAPODA;CALLIANASSIDAE;UNID.;UNID.
XXXXCAPI;ANNELIDA;POLYCHAETA;CAPITELLIDAE;UNID.;UNID.
XXXXCAPR;ARTHROPODA;AMPHIPODA;CAPRELLIDAE;UNID.;UNID.
XXXXCERA;ARTHROPODA;DIPTERA;CERATOPOGONIDAE;UNID.;UNID.
XXXXCHAE;CHAETOGNATHA;UNID.;UNID.;UNID.;UNID.
XXXXCHIR;ARTHROPODA;DIPTERA;CHIRONOMIDAE;UNID.;UNID.
XXXXCIRR;ANNELIDA;POLYCHAETA;CIRRATULIDAE;UNID.;UNID.
XXXXCOLL;ARTHROPODA;COLLEMBOLA;UNID.;UNID.;UNID.
XXXXCUMA;ARTHROPODA;CUMACEA;UNID.;UNID.;UNID.
XXXXDECA;ARTHROPODA;DECAPODA;UNID.;UNID.;UNID.
XXXXDELP;ARTHROPODA;HOMOPTERA;DELPHACIDAE;UNID.;UNID.
XXXXDIPT;ARTHROPODA;DIPTERA;UNID.;UNID.;UNID.
XXXXDOLI;ARTHROPODA;MUSCOMORPHA;DOLICHOPODIDAE;UNID.;UNID.
XXXXECHI;ECHINODERMATA;ECHINOIDEA;UNID.;UNID.;UNID.
XXXXECTO;ECTOPROCTA;BRYOZOA;UNID.;UNID.;UNID.
XXXXENTO;ENTOPROCTA;UNID.;UNID.;UNID.;UNID.
XXXXEUNI;ANNELIDA;POLYCHAETA;EUNICIDAE;UNID.;UNID.
XXXXGALE;MOLLUSCA;GALEOMMATOIDEA;UNID.;UNID.;UNID.
XXXXGAST;MOLLUSCA;GASTROPODA;UNID.;UNID.;UNID.
XXXXGLYC;ANNELIDA;POLYCHAETA;GLYCERIDAE;UNID.;UNID.
XXXXGOBI;CHORDATA;OSTEICHTHYES;GOBIIDAE;UNID.;UNID.
XXXXGONI;ANNELIDA;POLYCHAETA;GONIADIDAE;UNID.;UNID.
XXXXGORG;CNIDARIA;GORGONACEA;UNID.;UNID.;UNID.
XXXXHARP;ARTHROPODA;COPEPODA/HARPACTICOIDA;UNID.;UNID.;UNID.
XXXXHAUS;ARTHROPODA;AMPHIPODA;HAUSTORIIDAE;UNID.;UNID.
XXXXHEMI;HEMICHORDATA;ENTEROPNEUSTA;UNID.;UNID.;UNID.
XXXXHESI;ANNELIDA;POLYCHAETA;HESIONIDAE;UNID.;UNID.
XXXXHIRU;ANNELIDA;HIRUDINEA;UNID.;UNID.;UNID.
XXXXHOLO;ECHINODERMATA;HOLOTHUROIDEA;UNID.;UNID.;UNID.
XXXXHYDR;MOLLUSCA;GASTROPODA;HYDROBIIDAE;UNID.;UNID.
XXXXINSE;ARTHROPODA;INSECTA;UNID.;UNID.;UNID.
XXXXLEPT;MOLLUSCA;BIVALVIA;LEPTONIDAE;UNID.;UNID.
XXXXLINE;NEMERTEA;ANOPLA;LINEIDAE;UNID.;UNID.
XXXXLUCI;MOLLUSCA;BIVALVIA;LUCINIDAE;UNID.;UNID.
XXXXLUMB;ANNELIDA;POLYCHAETA;LUMBRINERIDAE;UNID.;UNID.
XXXXMACT;MOLLUSCA;BIVALVIA;MACTRIDAE;UNID.;UNID.
XXXXMALD;ANNELIDA;POLYCHAETA;MALDANIDAE;UNID.;UNID.
XXXXMELI;ARTHROPODA;AMPHIPODA;MELITIDAE;UNID.;UNID.
XXXXMONT;MOLLUSCA;BIVALVIA;MONTACUTIDAE;UNID.;UNID.
XXXXMYSI;ARTHROPODA;MYSIDACEA;UNID.;UNID.;UNID.
XXXXMYTI;MOLLUSCA;BIVALVIA;MYTILIDAE;UNID.;UNID.
XXXXNEMA;NEMATODA;UNID.;UNID.;UNID.;UNID.
XXXXNEME;NEMERTEA;UNID.;UNID.;UNID.;UNID.
XXXXNEPH;ANNELIDA;POLYCHAETA;NEPHTYIDAE;UNID.;UNID.
XXXXNERE;ANNELIDA;POLYCHAETA;NEREIDAE;UNID.;UNID.
XXXXNUDI;MOLLUSCA;NUDIBRANCHIA;UNID.;UNID.;UNID.
XXXXODOS;MOLLUSCA;GASTROPODA;ODOSTOMIIDAE;UNID.;UNID.
XXXXOEDI;ARTHROPODA;AMPHIPODA;OEDICEROTIDAE;UNID.;UNID.
XXXXOLIG;ANNELIDA;OLIGOCHAETA;UNID.;UNID.;UNID.
XXXXONUP;ANNELIDA;POLYCHAETA;ONUPHIDAE;UNID.;UNID.
XXXXOPHI;ECHINODERMATA;OPHIUROIDEA;UNID.;UNID.;UNID.
XXXXORBI;ANNELIDA;POLYCHAETA;ORBINIIDAE;UNID.;UNID.
XXXXOWEN;ANNELIDA;POLYCHAETA;OWENIIDAE;UNID.;UNID.
XXXXPAGU;ARTHROPODA;DECAPODA;PAGURIDAE;UNID.;UNID.
XXXXPARA;ANNELIDA;POLYCHAETA;PARAONIDAE;UNID.;UNID.
XXXXPHOL;MOLLUSCA;BIVALVIA;PHOLADIDAE;UNID.;UNID.
XXXXPHYL;ANNELIDA;POLYCHAETA;PHYLLODOCIDAE;UNID.;UNID.
XXXXPILA;ANNELIDA;POLYCHAETA;PILARGIDAE;UNID.;UNID.
XXXXPINN;ARTHROPODA;DECAPODA;PINNOTHERIDAE;UNID.;UNID.
XXXXPORC;ARTHROPODA;DECAPODA;PORCELLANIDAE;UNID.;UNID.
XXXXPORI;PORIFERA;UNID.;UNID.;UNID.;UNID.
XXXXPORT;ARTHROPODA;DECAPODA;PORTUNIDAE;UNID.;UNID.
XXXXPYCN;ARTHROPODA;PYCNOGONIDA;PYCNOGONIDAE;UNID.;UNID.
XXXXSABE;ANNELIDA;POLYCHAETA;SABELLIDAE;UNID.;UNID.
XXXXSIPU;SIPUNCULA;UNID.;UNID.;UNID.;UNID.
XXXXSOLE;MOLLUSCA;BIVALVIA;SOLENIDAE;UNID.;UNID.
XXXXSPHA;ARTHROPODA;ISOPODA;SPHAEROMATIDAE;UNID.;UNID.
XXXXSPIO;ANNELIDA;POLYCHAETA;SPIONIDAE;UNID.;UNID.
XXXXSPIR;ANNELIDA;POLYCHAETA;SPIRORBIDAE;UNID.;UNID.
XXXXSYLL;ANNELIDA;POLYCHAETA;SYLLIDAE;UNID.;UNID.
XXXXTANA;ARTHROPODA;TANAIDACEA;UNID.;UNID.;UNID.
XXXXTELL;MOLLUSCA;BIVALVIA;TELLINIDAE;UNID.;UNID.
XXXXTERE;ANNELIDA;POLYCHAETA;TEREBELLIDAE;UNID.;UNID.
XXXXTHAL;ARTHROPODA;DECAPODA/THALASSINIDEA;UNID.;UNID.;UNID.
XXXXTUBI;ANNELIDA;OLIGOCHAETA;TUBIFICIDAE;UNID.;UNID.
XXXXTURB;PLATYHELMINTHES;TURBELLARIA;UNID.;UNID.;UNID.
XXXXTURR;MOLLUSCA;GASTROPODA;TURRIDAE;UNID.;UNID.
XXXXUNIO;MOLLUSCA;BIVALVIA;UNIONIDAE;UNID.;UNID.
XXXXVENE;MOLLUSCA;BIVALVIA;VENERIDAE;UNID.;UNID.
XXXXXANT;ARTHROPODA;DECAPODA;XANTHIDAE;UNID.;UNID.
