names,species,wids
Brada villosa,Brada villosa,335391
Potamilla reniformis,NA,NA
Oxyurostylis,NA,156883
Lophogastrida,NA,149669
Deutella incerta,Deutella incerta,421581
Monocorophium,NA,148591
Pherusa,NA,129293
Unciola dissimilis,Unciola dissimilis,158154
Pectinaria,NA,129437
Batea catharinensis,Batea catharinensis,158032
Branchiostoma,NA,104902
Monocorophium acherusicum,Monocorophium acherusicum,225814
Porcellanidae,NA,106734
Scoloplos rubra,NA,NA
Tharyx,NA,129249
Bateidae,NA,158030
Glycera dibranchiata,Glycera dibranchiata,157392
Limulus polyphemus,Limulus polyphemus,150514
Magelona,NA,129341
Nassariidae,NA,151
Synidotea,NA,118456
Turridae,NA,152
Protohaustorius,NA,158135
Ancinus depressus,Ancinus depressus,258872
Balanoglossus,NA,137592
Haustoriidae,NA,101384
Mysella planulata,NA,NA
Chiridotea,NA,118448
Doridella,NA,NA
Melita,NA,101679
Unciola,NA,101474
Unciola serrata,Unciola serrata,158157
Apocorophium lacustre,Apocorophium lacustre,148594
Melitidae,NA,101397
Photis,NA,101563
Chiridotea arenicola,Chiridotea arenicola,257332
Cryptochironomus,NA,NA
Diastylidae,NA,110380
Monocorophium tuberculatum,Monocorophium tuberculatum,421579
Upogebia,NA,107079
Mactridae,NA,230
Acanthohaustorius millsi,Acanthohaustorius millsi,158015
Ameroculodes,NA,391588
Leptosynapta,NA,123449
Procladius,NA,NA
Batea,NA,158031
Mytilidae,NA,211
Palaemonidae,NA,106788
Ampelisca macrocephala,Ampelisca macrocephala,101908
Marginellidae,NA,23025
Pagurus pollicaris,Pagurus pollicaris,366751
Leptocheirus plumulosus,Leptocheirus plumulosus,158113
Rangia cuneata,Rangia cuneata,156991
Chironomus,NA,146802
Lysianassidae,NA,101395
Microphthalmus similis,Microphthalmus similis,130176
Glycera,NA,129296
Cerapus,NA,101566
Dulichiella,NA,415325
Hutchinsoniella macracantha,Hutchinsoniella macracantha,378162
Hypaniola,NA,129164
Mediomastus californiensis,Mediomastus californiensis,157483
Heteromastus,NA,129214
Leptocheirus,NA,101470
Dulichiella appendiculata,Dulichiella appendiculata,421504
Elasmopus laevis,NA,NA
Erichsonella,NA,157886
Ericthonius,NA,101567
Gammarus mucronatus,Gammarus mucronatus,158094
Hydrobiidae,NA,120
Ogyrides alphaerostris,Ogyrides alphaerostris,158368
Bittiolum alternatum,Bittiolum alternatum,160172
Gammarus palustris,Gammarus palustris,490283
Planorbidae,NA,NA
Polychaeta,NA,883
Sphaeriidae,NA,NA
Demonax,NA,NA
Notomastus,NA,129220
Syllis,NA,129680
Scolelepis squamata,Scolelepis squamata,335838
Eulimastoma weberi,Eulimastoma weberi,420448
Tagelus plebeius,Tagelus plebeius,157001
Kurtziella cerina,Kurtziella cerina,159895
Leptosynapta tenuis,Leptosynapta tenuis,158485
Macoma balthica,Macoma balthica,141579
Oedicerotidae,NA,101400
Acetes americanus,Acetes americanus,158344
Gammaridae,NA,101383
Callipallene brevirostris,Callipallene brevirostris,134643
Diopatra cuprea,Diopatra cuprea,157339
Molgula,NA,103509
Parahesione luteola,Parahesione luteola,334355
Tagelus divisus,Tagelus divisus,156999
Americamysis bigelowi,Americamysis bigelowi,161344
Ampithoe valida,Ampithoe valida,102005
Caprella,NA,101430
Cyclaspis,NA,110388
Siliqua costata,Siliqua costata,159998
Acteonidae,NA,155
Isopoda,NA,1131
Cymadusa,NA,101460
Pherusa plumosa,Pherusa plumosa,130113
Rhepoxynius epistomus,Rhepoxynius epistomus,158146
Apocorophium acutum,Apocorophium acutum,148604
Ceratopogonidae,NA,150940
Ampithoe,NA,101459
Cumacea,NA,1137
Anaitides longipes,NA,NA
Tanaissus psammophilus,Tanaissus psammophilus,157839
Prionospio pygmaeus,NA,NA
Glycera capitata,Glycera capitata,130118
Apocorophium simile,Apocorophium simile,421576
Rhithropanopeus harrisii,Rhithropanopeus harrisii,107414
Busycon carica,Busycon carica,160185
Monoculodes,NA,101694
Hirudinea,NA,2041
Tanypus,NA,886228
Chaetopteridae,NA,918
Amphilochidae,NA,101365
Nudibranchia,NA,1762
Pleustidae,NA,101404
Cylichnidae,NA,159
Amakusanthura,NA,118287
Decamastus,NA,324650
Eteone,NA,129443
Gyptis,NA,129307
Streblospio,NA,129627
Chlamydopleon dissimile,Chlamydopleon dissimile,432375
Gitanopsis,NA,101453
Mactrotoma fragilis,Mactrotoma fragilis,420850
Chone,NA,129525
Euclymene,NA,129347
Maldane,NA,129352
Ophiurida,NA,123117
Pista,NA,129708
Prionospio cirrifera,Prionospio cirrifera,131153
Prunum apicinum,Prunum apicinum,420149
Anthozoa,NA,1292
Brachidontes exustus,Brachidontes exustus,397026
Crepidula maculosa,Crepidula maculosa,419704
Hargeria rapax,Hargeria rapax,247538
Laticorophium,NA,415544
Liljeborgia bousfieldi,NA,NA
Ophiodromus,NA,NA
Polydora ligni,NA,NA
Ameroculodes edwardsi,Ameroculodes edwardsi,547000
Armandia maculata,Armandia maculata,157220
Bemlos,NA,101467
Bulla striata,Bulla striata,138940
Corbula,NA,137841
Corbula swiftiana,NA,NA
Diopatra tridentata,Diopatra tridentata,157340
Fabriciola trilobata,NA,NA
Grandidierella bonnieroides,Grandidierella bonnieroides,211405
Kinbergonuphis,NA,173767
Lucina radians,NA,NA
Naineris,NA,129419
Piromis roberti,Piromis roberti,334533
Pyramidella,NA,160041
Shoemakerella cubensis,Shoemakerella cubensis,421497
Sphaerosyllis aciculata,Sphaerosyllis aciculata,331997
Tanystylum orbiculare,Tanystylum orbiculare,134635
Tricolia thalassicola,NA,NA
Amphipholis,NA,123612
Arabella mutans,Arabella mutans,157203
Bittiolum,NA,160170
Caecum nitidum,NA,NA
